offset,seed,band,boots,how
6,09A6,0,1,measured
8,7B16,0,1,measured
9,C3D9,0,1,measured
11,5665,0,1,measured
12,9FA5,0,1,measured
13,9F5D,0,1,measured
14,C1E8,0,1,measured
15,0C4C,0,1,measured
16,0C4C,0,1,measured
17,537B,0,1,measured
18,E6E0,0,1,measured
19,2F42,0,1,measured
20,71F6,0,1,measured
22,DFCD,0,1,measured
24,6633,0,1,measured
25,AF6D,0,1,measured
26,F8B2,0,1,measured
27,41F2,0,1,measured
28,6AB2,0,1,measured
29,7DC3,0,1,measured
30,C703,0,1,measured
31,0F66,0,1,measured
32,58A5,0,1,measured
33,A1E5,0,1,measured
34,EB25,0,1,measured
35,3081,0,1,measured
38,C6E1,0,1,measured
39,1026,0,1,measured
40,0EE7,0,1,measured
41,3268,0,1,measured
42,7CCC,0,1,measured
43,C720,0,1,measured
44,0D0D,0,1,measured
45,5588,0,1,measured
46,A687,0,1,measured
47,EC59,0,1,measured
48,3565,0,1,measured
50,B53E,0,1,measured
51,F541,0,1,measured
52,4859,0,1,measured
53,9237,0,1,measured
54,DA30,0,1,measured
55,2338,0,1,measured
56,9B30,0,1,measured
57,E58A,0,1,measured
59,7901,0,1,measured
60,BFD2,0,1,measured
61,0694,0,1,measured
62,4FA7,0,1,measured
63,78A5,0,1,measured
64,3826,0,1,measured
65,53B9,0,1,measured
66,A30E,0,1,measured
67,EA63,0,1,measured
68,34C0,0,1,measured
69,7C8C,0,1,measured
70,C672,0,1,measured
71,1081,0,1,measured
72,5A03,0,1,measured
73,CCB9,0,1,measured
74,EBB6,0,1,measured
75,3643,0,1,measured
76,7DA2,0,1,measured
77,C800,0,1,measured
78,1075,0,1,measured
79,5A87,0,1,measured
80,9F1B,0,1,measured
81,EBF8,0,1,measured
82,5F1A,0,1,measured
83,7F03,0,1,measured
84,C98E,0,1,measured
85,10E3,0,1,measured
86,5B3D,0,1,measured
87,A61F,0,1,measured
88,EDCE,0,1,measured
89,EDCE,0,1,measured
90,35DE,0,1,measured
91,AAEE,0,1,measured
92,CA4E,0,1,measured
93,14C9,0,1,measured
94,5C22,0,1,measured
95,E98D,0,1,measured
96,3829,0,1,measured
97,8240,0,1,measured
98,CBD0,0,1,measured
99,3E10,0,1,measured
100,5D8A,0,1,measured
101,A80A,0,1,measured
102,F242,0,1,measured
103,3842,0,1,measured
104,8235,0,1,measured
105,CC6F,0,1,measured
106,15C3,0,1,measured
107,87F9,0,1,measured
108,A682,0,1,measured
110,33A5,0,1,measured
111,33A5,0,1,measured
112,82C1,0,1,measured
114,146D,0,1,measured
115,5E85,0,1,measured
116,A80F,0,1,measured
117,1C70,0,1,measured
119,7EC2,0,1,measured
120,C72D,0,1,measured
121,593B,0,1,measured
122,A2EB,0,1,measured
123,EBE1,0,1,measured
124,3435,0,1,measured
125,72A1,0,1,measured
126,B436,0,1,measured
127,FD13,0,1,measured
128,476D,0,1,measured
129,9640,0,1,measured
130,D923,0,1,measured
132,70E1,0,1,measured
133,B4DE,0,1,measured
134,0328,0,1,measured
135,4B9A,0,1,measured
136,94E3,0,1,measured
138,0946,0,1,measured
139,383E,0,1,measured
141,CA85,0,1,measured
142,7033,0,1,measured
144,F4C3,0,1,measured
145,3D34,0,1,measured
146,867F,0,1,measured
147,D0CA,0,1,measured
148,1934,0,1,measured
149,6254,0,1,measured
150,AB8D,0,1,measured
151,ED19,0,1,measured
152,2B70,0,1,measured
153,7468,0,1,measured
154,F84A,0,1,measured
155,1C42,0,1,measured
156,69EA,0,1,measured
157,B3A0,0,1,measured
158,FBDE,0,1,measured
159,4584,0,1,measured
160,8EC4,0,1,measured
161,D86A,0,1,measured
162,1EF2,0,1,measured
163,4B7F,0,1,measured
164,94ED,0,1,measured
165,DDBF,0,1,measured
166,26EA,0,1,measured
167,A3BC,0,1,measured
168,BB50,0,1,measured
171,9643,0,1,measured
172,DF1F,0,1,measured
173,2860,0,1,measured
174,720C,0,1,measured
175,BAFD,0,1,measured
176,E485,0,1,measured
177,14E1,0,1,measured
178,5C6F,0,1,measured
179,A533,0,1,measured
180,582D,0,1,measured
181,893A,0,1,measured
182,D25F,0,1,measured
183,1B05,0,1,measured
184,64AF,0,1,measured
185,A9C9,0,1,measured
187,5986,0,1,measured
188,8A06,0,1,measured
189,D329,0,1,measured
190,1BC5,0,1,measured
191,656D,0,1,measured
192,AF18,0,1,measured
193,1A0F,0,1,measured
194,40BD,0,1,measured
195,8D74,0,1,measured
196,D946,0,1,measured
197,1FC3,0,1,measured
198,6971,0,1,measured
199,B3B1,0,1,measured
200,F00B,0,1,measured
201,41C4,0,1,measured
202,835C,0,1,measured
203,C4DA,0,1,measured
204,0A52,0,1,measured
205,53AE,0,1,measured
206,D5D4,0,1,measured
207,0AA2,0,1,measured
208,524D,0,1,measured
209,9D9B,0,1,measured
210,E424,0,1,measured
211,2D8A,0,1,measured
212,7AA4,0,1,measured
213,BDCE,0,1,measured
