offset,seed,band,boots,how
6,09AC,0,1,measured
8,7B0A,0,1,measured
9,C3D6,0,1,measured
10,0D24,0,1,measured
11,565A,0,1,measured
12,9F9A,0,1,measured
13,9F08,0,1,measured
14,C1A7,0,1,measured
15,0BF5,0,1,measured
16,0BF5,0,1,measured
17,537B,0,1,measured
18,E6B1,0,1,measured
19,2F31,0,1,measured
20,71D8,0,1,measured
21,C00E,0,1,measured
23,1DCE,0,1,measured
24,6627,0,1,measured
25,AF62,0,1,measured
26,F8B0,0,1,measured
27,41F0,0,1,measured
28,6AA9,0,1,measured
29,7DC1,0,1,measured
31,0F64,0,1,measured
32,589A,0,1,measured
33,A1DC,0,1,measured
34,EB1A,0,1,measured
35,3078,0,1,measured
36,7D9D,0,1,measured
37,7D9D,0,1,measured
38,C6D6,0,1,measured
39,1024,0,1,measured
40,0E90,0,1,measured
41,3231,0,1,measured
42,7C75,0,1,measured
44,0CF9,0,1,measured
45,557E,0,1,measured
46,A666,0,1,measured
47,EC57,0,1,measured
48,3566,0,1,measured
49,76E9,0,1,measured
50,B543,0,1,measured
51,F53F,0,1,measured
52,4847,0,1,measured
53,9208,0,1,measured
54,DA2E,0,1,measured
55,232E,0,1,measured
56,9B2E,0,1,measured
57,E572,0,1,measured
58,2F1C,0,1,measured
59,78CF,0,1,measured
60,BFB6,0,1,measured
61,0698,0,1,measured
62,4F9F,0,1,measured
63,78AC,0,1,measured
64,37D0,0,1,measured
65,537B,0,1,measured
66,A2B5,0,1,measured
67,EA49,0,1,measured
68,3484,0,1,measured
69,7C58,0,1,measured
70,C66A,0,1,measured
71,1035,0,1,measured
72,59C0,0,1,measured
73,CC61,0,1,measured
74,EB7F,0,1,measured
75,35F5,0,1,measured
76,7D84,0,1,measured
77,C7C5,0,1,measured
78,106B,0,1,measured
79,5A38,0,1,measured
80,9ECD,0,1,measured
81,EBB6,0,1,measured
82,5ECF,0,1,measured
83,7EC9,0,1,measured
84,C93D,0,1,measured
85,10C4,0,1,measured
86,5B08,0,1,measured
87,A5D7,0,1,measured
90,35A7,0,1,measured
91,AA9F,0,1,measured
92,CA0B,0,1,measured
93,1471,0,1,measured
94,5C10,0,1,measured
96,3826,0,1,measured
97,81F4,0,1,measured
98,CB81,0,1,measured
99,3DC4,0,1,measured
100,5D4F,0,1,measured
101,A7B6,0,1,measured
102,F1F2,0,1,measured
103,3835,0,1,measured
104,8232,0,1,measured
105,CC19,0,1,measured
106,1570,0,1,measured
108,A64C,0,1,measured
109,F0B1,0,1,measured
110,3395,0,1,measured
111,3395,0,1,measured
112,8281,0,1,measured
113,CA69,0,1,measured
114,1464,0,1,measured
115,5E34,0,1,measured
116,A7BD,0,1,measured
117,1C30,0,1,measured
118,36A3,0,1,measured
119,7E82,0,1,measured
120,C705,0,1,measured
121,5918,0,1,measured
122,A2D1,0,1,measured
124,342B,0,1,measured
125,727A,0,1,measured
126,B43C,0,1,measured
127,FD07,0,1,measured
128,4757,0,1,measured
129,9646,0,1,measured
130,D921,0,1,measured
131,269E,0,1,measured
132,70CF,0,1,measured
133,B4E3,0,1,measured
134,02FF,0,1,measured
135,4B98,0,1,measured
136,94E7,0,1,measured
137,DE4E,0,1,measured
138,0934,0,1,measured
139,3829,0,1,measured
140,7702,0,1,measured
141,CA6C,0,1,measured
142,7038,0,1,measured
143,A92A,0,1,measured
144,F4A2,0,1,measured
145,3D31,0,1,measured
146,8673,0,1,measured
