offset,seed,band,boots,how
6,9AD9,0,1,measured
7,C2CB,0,1,measured
8,0C41,0,1,measured
9,5503,0,1,measured
10,9E50,0,1,measured
11,E790,0,1,measured
12,30D0,0,1,measured
13,308D,0,1,measured
14,530A,0,1,measured
15,9D77,0,1,measured
16,9D77,0,1,measured
17,E4A3,0,1,measured
18,78F0,0,1,measured
19,BF17,0,1,measured
20,032A,0,1,measured
21,50F4,0,1,measured
22,70EF,0,1,measured
23,AF01,0,1,measured
24,F75C,0,1,measured
25,408E,0,1,measured
26,89DE,0,1,measured
27,D314,0,1,measured
28,FBD6,0,1,measured
29,0EEE,0,1,measured
30,582D,0,1,measured
31,A088,0,1,measured
32,E9D0,0,1,measured
33,3310,0,1,measured
34,7C4D,0,1,measured
35,C1AB,0,1,measured
36,0ED0,0,1,measured
37,0ED0,0,1,measured
38,580C,0,1,measured
39,A148,0,1,measured
40,A00F,0,1,measured
41,C392,0,1,measured
42,0DF7,0,1,measured
43,5578,0,1,measured
44,9FD7,0,1,measured
45,E77E,0,1,measured
46,366B,0,1,measured
47,7FF7,0,1,measured
48,C692,0,1,measured
49,088E,0,1,measured
50,466D,0,1,measured
51,866C,0,1,measured
52,D98C,0,1,measured
53,2362,0,1,measured
54,6B54,0,1,measured
55,B464,0,1,measured
56,2C65,0,1,measured
57,7555,0,1,measured
58,BFC0,0,1,measured
59,0A2B,0,1,measured
60,5107,0,1,measured
61,97BC,0,1,measured
62,E0D2,0,1,measured
63,09DB,0,1,measured
64,C94E,0,1,measured
65,E4E4,0,1,measured
66,3435,0,1,measured
67,7B8E,0,1,measured
68,C5EB,0,1,measured
69,0DAF,0,1,measured
70,579C,0,1,measured
71,A1A4,0,1,measured
72,EB2F,0,1,measured
73,5DDE,0,1,measured
74,7CEB,0,1,measured
75,C76E,0,1,measured
76,0ECE,0,1,measured
77,592A,0,1,measured
78,A404,0,1,measured
79,EBC1,0,1,measured
80,2EE1,0,1,measured
81,7A72,0,1,measured
82,EF60,0,1,measured
