offset,seed,band,boots,how
6,0270,0,1,measured
7,4BC0,0,1,measured
8,94F3,0,1,measured
9,A7B5,0,1,measured
10,EC8C,0,1,measured
11,3AAF,0,1,measured
12,6294,0,1,measured
13,AC0E,0,1,measured
14,F4DD,0,1,measured
15,3E1D,0,1,measured
16,875D,0,1,measured
17,D09D,0,1,measured
18,D059,0,1,measured
19,F2E6,0,1,measured
20,3EE5,0,1,measured
21,85B4,0,1,measured
22,CE6C,0,1,measured
23,17AD,0,1,measured
24,618D,0,1,measured
25,A300,0,1,measured
26,F1B8,0,1,measured
27,10C7,0,1,measured
28,4EDB,0,1,measured
29,972A,0,1,measured
30,E064,0,1,measured
31,29B3,0,1,measured
32,72F2,0,1,measured
33,9BB1,0,1,measured
34,AECE,0,1,measured
35,F808,0,1,measured
36,405B,0,1,measured
37,899D,0,1,measured
38,D2DD,0,1,measured
39,1C1D,0,1,measured
40,6175,0,1,measured
41,AE9E,0,1,measured
42,F7DD,0,1,measured
43,411D,0,1,measured
44,3FDC,0,1,measured
45,6360,0,1,measured
46,ADCD,0,1,measured
47,F549,0,1,measured
48,3FA7,0,1,measured
49,8888,0,1,measured
50,D924,0,1,measured
51,1D60,0,1,measured
52,6668,0,1,measured
53,A7EC,0,1,measured
54,E639,0,1,measured
55,263A,0,1,measured
56,795C,0,1,measured
57,C340,0,1,measured
58,0BDC,0,1,measured
59,543B,0,1,measured
60,8348,0,1,measured
61,CC37,0,1,measured
62,1534,0,1,measured
63,5F9A,0,1,measured
64,AA00,0,1,measured
65,F0D2,0,1,measured
66,379A,0,1,measured
67,80A8,0,1,measured
68,A9A3,0,1,measured
69,6925,0,1,measured
70,84C1,0,1,measured
71,D40B,0,1,measured
72,1B64,0,1,measured
73,65C7,0,1,measured
74,AEC6,0,1,measured
75,F765,0,1,measured
76,4187,0,1,measured
77,8B0A,0,1,measured
78,FDBB,0,1,measured
79,1CC2,0,1,measured
80,68EB,0,1,measured
81,AFB6,0,1,measured
82,F786,0,1,measured
83,416E,0,1,measured
84,8B82,0,1,measured
85,D064,0,1,measured
86,1A41,0,1,measured
87,8F36,0,1,measured
88,B002,0,1,measured
89,FA89,0,1,measured
90,41E4,0,1,measured
91,8C47,0,1,measured
92,D4B8,0,1,measured
93,1ECC,0,1,measured
94,67E7,0,1,measured
95,DDCD,0,1,measured
96,FCBD,0,1,measured
97,43F5,0,1,measured
98,8E36,0,1,measured
99,D741,0,1,measured
100,1AE8,0,1,measured
101,692A,0,1,measured
102,B32A,0,1,measured
103,FB77,0,1,measured
104,6EA0,0,1,measured
105,8E8A,0,1,measured
106,D90A,0,1,measured
107,2071,0,1,measured
108,6AC4,0,1,measured
109,B335,0,1,measured
110,FFB3,0,1,measured
111,4568,0,1,measured
112,B88C,0,1,measured
113,D788,0,1,measured
114,2200,0,1,measured
115,64B2,0,1,measured
116,B3B9,0,1,measured
117,FCB6,0,1,measured
118,4567,0,1,measured
119,8F98,0,1,measured
120,D918,0,1,measured
121,4D72,0,1,measured
122,663D,0,1,measured
123,AF58,0,1,measured
124,F8F3,0,1,measured
125,4273,0,1,measured
126,8A45,0,1,measured
127,D3F2,0,1,measured
128,1CE2,0,1,measured
129,652C,0,1,measured
130,A398,0,1,measured
131,E533,0,1,measured
132,2E16,0,1,measured
133,787C,0,1,measured
134,C747,0,1,measured
135,0A30,0,1,measured
136,57AA,0,1,measured
137,A199,0,1,measured
138,E5DB,0,1,measured
139,3371,0,1,measured
140,7D8D,0,1,measured
141,C5E7,0,1,measured
142,0F52,0,1,measured
143,3A47,0,1,measured
144,6893,0,1,measured
145,A80A,0,1,measured
146,FB8D,0,1,measured
147,A183,0,1,measured
148,DA2E,0,1,measured
149,25C4,0,1,measured
150,6E2C,0,1,measured
151,B777,0,1,measured
152,00DB,0,1,measured
153,4ADF,0,1,measured
154,9404,0,1,measured
155,DCD4,0,1,measured
156,1E21,0,1,measured
157,5C6E,0,1,measured
158,A560,0,1,measured
159,299D,0,1,measured
160,4D3B,0,1,measured
161,9AF9,0,1,measured
162,E4AA,0,1,measured
163,2CE7,0,1,measured
164,7685,0,1,measured
165,BFC5,0,1,measured
166,0969,0,1,measured
167,4FEE,0,1,measured
168,7C86,0,1,measured
169,C5ED,0,1,measured
170,0EBF,0,1,measured
171,57E0,0,1,measured
172,D4AD,0,1,measured
173,EC4C,0,1,measured
174,359E,0,1,measured
175,7A56,0,1,measured
176,C743,0,1,measured
177,1020,0,1,measured
178,5958,0,1,measured
179,A313,0,1,measured
180,EBF1,0,1,measured
181,1589,0,1,measured
182,459E,0,1,measured
183,8EAC,0,1,measured
184,D632,0,1,measured
185,8A77,0,1,measured
186,BA39,0,1,measured
187,03CA,0,1,measured
188,4C0E,0,1,measured
189,95C0,0,1,measured
190,DA78,0,1,measured
191,2878,0,1,measured
192,8B95,0,1,measured
193,BB0D,0,1,measured
194,0424,0,1,measured
195,4CC5,0,1,measured
196,9674,0,1,measured
