offset,seed,band,boots,how
6,9ADA,0,1,measured
7,C2D5,0,1,measured
8,0C3E,0,1,measured
9,551A,0,1,measured
10,9E51,0,1,measured
11,E791,0,1,measured
12,30D1,0,1,measured
13,3040,0,1,measured
14,52E5,0,1,measured
15,9D31,0,1,measured
16,9D31,0,1,measured
17,E4BE,0,1,measured
18,7694,0,1,measured
19,BEA1,0,1,measured
20,0317,0,1,measured
21,50DE,0,1,measured
22,70F5,0,1,measured
23,AF05,0,1,measured
24,F75E,0,1,measured
25,40A3,0,1,measured
26,89DE,0,1,measured
27,D31E,0,1,measured
28,FBE0,0,1,measured
29,0EFD,0,1,measured
30,583C,0,1,measured
31,A09A,0,1,measured
32,E9D1,0,1,measured
33,330F,0,1,measured
34,7C51,0,1,measured
35,C1AD,0,1,measured
36,0ED9,0,1,measured
37,0ED9,0,1,measured
38,581C,0,1,measured
39,A15A,0,1,measured
40,9FC4,0,1,measured
41,C366,0,1,measured
42,0DB8,0,1,measured
43,556B,0,1,measured
44,9FA9,0,1,measured
45,E774,0,1,measured
46,367D,0,1,measured
47,7FCA,0,1,measured
48,C705,0,1,measured
49,0826,0,1,measured
50,4671,0,1,measured
51,8668,0,1,measured
52,D983,0,1,measured
53,233D,0,1,measured
54,6B5E,0,1,measured
55,B464,0,1,measured
56,2C6F,0,1,measured
57,755A,0,1,measured
58,BFC6,0,1,measured
59,0A0E,0,1,measured
60,50F4,0,1,measured
61,97C6,0,1,measured
62,E0D3,0,1,measured
63,09D9,0,1,measured
64,C909,0,1,measured
65,E4B2,0,1,measured
66,33F6,0,1,measured
67,7B81,0,1,measured
68,C5BB,0,1,measured
69,0D98,0,1,measured
70,579D,0,1,measured
71,A161,0,1,measured
72,EAFC,0,1,measured
73,5DA2,0,1,measured
74,7CC1,0,1,measured
75,C72A,0,1,measured
76,0EC1,0,1,measured
77,5A23,0,1,measured
78,A1A6,0,1,measured
79,EB98,0,1,measured
80,3055,0,1,measured
81,7A75,0,1,measured
82,EF1F,0,1,measured
83,1001,0,1,measured
84,5A68,0,1,measured
85,A1FF,0,1,measured
86,EC3B,0,1,measured
87,34E3,0,1,measured
88,7EAB,0,1,measured
89,7EAB,0,1,measured
90,C7D6,0,1,measured
91,3BC6,0,1,measured
92,5B3F,0,1,measured
93,A72A,0,1,measured
94,EE62,0,1,measured
95,7B0F,0,1,measured
96,C95F,0,1,measured
97,131E,0,1,measured
98,5B6E,0,1,measured
99,CE8B,0,1,measured
100,EE8C,0,1,measured
101,38F1,0,1,measured
102,808B,0,1,measured
103,CAC3,0,1,measured
104,1366,0,1,measured
105,5D34,0,1,measured
106,A65A,0,1,measured
107,1A2B,0,1,measured
108,38E1,0,1,measured
109,8048,0,1,measured
110,C5D8,0,1,measured
111,C5D8,0,1,measured
112,1263,0,1,measured
113,5C0C,0,1,measured
114,A593,0,1,measured
115,EF61,0,1,measured
116,37AF,0,1,measured
117,ACF6,0,1,measured
118,C63C,0,1,measured
119,0F4B,0,1,measured
120,58F5,0,1,measured
121,EA5C,0,1,measured
122,350B,0,1,measured
123,7CF6,0,1,measured
124,C56C,0,1,measured
125,03B7,0,1,measured
126,456B,0,1,measured
127,8E44,0,1,measured
128,D76F,0,1,measured
129,277B,0,1,measured
130,6A62,0,1,measured
131,B7DF,0,1,measured
132,01BE,0,1,measured
133,461D,0,1,measured
134,93AD,0,1,measured
135,DD5B,0,1,measured
136,2615,0,1,measured
137,6FCE,0,1,measured
138,9A61,0,1,measured
139,C8C6,0,1,measured
140,0842,0,1,measured
141,5B98,0,1,measured
142,0169,0,1,measured
143,3A65,0,1,measured
144,85D1,0,1,measured
145,CE65,0,1,measured
146,17A9,0,1,measured
147,610C,0,1,measured
148,AAF6,0,1,measured
149,F424,0,1,measured
150,3CCA,0,1,measured
151,7E57,0,1,measured
152,BCEB,0,1,measured
153,0592,0,1,measured
154,894B,0,1,measured
155,AD3D,0,1,measured
156,FAED,0,1,measured
157,449F,0,1,measured
158,8D13,0,1,measured
159,D683,0,1,measured
160,1FB8,0,1,measured
161,6960,0,1,measured
162,B029,0,1,measured
163,DCBA,0,1,measured
164,262B,0,1,measured
165,6EF3,0,1,measured
166,B816,0,1,measured
167,3652,0,1,measured
168,4C43,0,1,measured
169,9606,0,1,measured
170,D9A6,0,1,measured
171,26F3,0,1,measured
172,7033,0,1,measured
173,B9E1,0,1,measured
174,02B3,0,1,measured
175,4B58,0,1,measured
176,76D0,0,1,measured
177,A493,0,1,measured
178,EDA6,0,1,measured
179,3789,0,1,measured
180,E933,0,1,measured
181,1A39,0,1,measured
182,6575,0,1,measured
183,AC3B,0,1,measured
184,F5BB,0,1,measured
185,3A76,0,1,measured
186,8880,0,1,measured
187,EB59,0,1,measured
188,1B0C,0,1,measured
189,641E,0,1,measured
190,ACF4,0,1,measured
191,F672,0,1,measured
192,4010,0,1,measured
193,AB10,0,1,measured
194,D1A8,0,1,measured
195,1E73,0,1,measured
196,6A85,0,1,measured
197,B284,0,1,measured
198,F80A,0,1,measured
199,4401,0,1,measured
200,813F,0,1,measured
201,D2F8,0,1,measured
202,1491,0,1,measured
203,5605,0,1,measured
204,9B7A,0,1,measured
205,E4E5,0,1,measured
206,66C7,0,1,measured
207,99C3,0,1,measured
208,E2E0,0,1,measured
209,2EC8,0,1,measured
210,751A,0,1,measured
211,BED7,0,1,measured
212,0948,0,1,measured
213,4E16,0,1,measured
214,9726,0,1,measured
215,B73F,0,1,measured
216,0CBA,0,1,measured
217,523A,0,1,measured
218,9B8E,0,1,measured
219,1EA0,0,1,measured
220,4323,0,1,measured
221,8C40,0,1,measured
222,D5F3,0,1,measured
223,1E6C,0,1,measured
224,674D,0,1,measured
225,B077,0,1,measured
226,FA45,0,1,measured
227,435C,0,1,measured
228,6962,0,1,measured
229,A6BE,0,1,measured
230,EAA7,0,1,measured
231,3842,0,1,measured
232,8496,0,1,measured
233,C9C4,0,1,measured
234,1285,0,1,measured
235,5C50,0,1,measured
236,A4FA,0,1,measured
237,EE37,0,1,measured
238,3814,0,1,measured
239,80B5,0,1,measured
240,CA05,0,1,measured
241,F4DA,0,1,measured
242,207F,0,1,measured
243,68B4,0,1,measured
244,3657,0,1,measured
245,4719,0,1,measured
246,94EF,0,1,measured
247,DEB3,0,1,measured
248,2642,0,1,measured
249,703D,0,1,measured
250,B8C0,0,1,measured
251,031A,0,1,measured
252,4BE5,0,1,measured
253,8CFA,0,1,measured
254,CB47,0,1,measured
255,1422,0,1,measured
256,5D42,0,1,measured
257,F479,0,1,measured
258,2984,0,1,measured
259,72A2,0,1,measured
260,B833,0,1,measured
261,0470,0,1,measured
262,4E5B,0,1,measured
263,96F6,0,1,measured
264,E0DB,0,1,measured
265,2960,0,1,measured
266,2960,0,1,measured
267,576B,0,1,measured
268,ADEC,0,1,measured
269,ED01,0,1,measured
270,3648,0,1,measured
271,A9E3,0,1,measured
272,E6B5,0,1,measured
273,2EC5,0,1,measured
274,7779,0,1,measured
275,C0B9,0,1,measured
276,0615,0,1,measured
277,5339,0,1,measured
278,9C71,0,1,measured
279,E5B4,0,1,measured
280,2B52,0,1,measured
281,73D8,0,1,measured
282,BA8A,0,1,measured
283,69A8,0,1,measured
284,94DB,0,1,measured
285,DDEA,0,1,measured
286,26CF,0,1,measured
287,7224,0,1,measured
288,B75E,0,1,measured
289,1BB9,0,1,measured
290,47BB,0,1,measured
291,956A,0,1,measured
292,DF2A,0,1,measured
293,27A2,0,1,measured
294,7114,0,1,measured
295,BA46,0,1,measured
296,209B,0,1,measured
297,50AF,0,1,measured
298,EE59,0,1,measured
299,3866,0,1,measured
300,8180,0,1,measured
301,C741,0,1,measured
302,04F7,0,1,measured
303,4E34,0,1,measured
304,8B9B,0,1,measured
305,8B9B,0,1,measured
306,CE21,0,1,measured
307,16F5,0,1,measured
308,6030,0,1,measured
309,E028,0,1,measured
