offset,seed,band,boots,how
6,835B,0,1,measured
7,AB56,0,1,measured
8,F4C3,0,1,measured
9,3D97,0,1,measured
10,86DD,0,1,measured
11,D01B,0,1,measured
12,1952,0,1,measured
13,18C1,0,1,measured
14,3B5C,0,1,measured
15,85B9,0,1,measured
16,85B9,0,1,measured
17,CD30,0,1,measured
18,6134,0,1,measured
19,A790,0,1,measured
20,EB8F,0,1,measured
21,3960,0,1,measured
22,5986,0,1,measured
23,978C,0,1,measured
24,DFE0,0,1,measured
25,2925,0,1,measured
26,7268,0,1,measured
27,BB9F,0,1,measured
28,E461,0,1,measured
29,F782,0,1,measured
30,40BA,0,1,measured
31,8912,0,1,measured
32,D25B,0,1,measured
33,1B92,0,1,measured
34,64D0,0,1,measured
35,AA2E,0,1,measured
36,F752,0,1,measured
37,F752,0,1,measured
38,408E,0,1,measured
39,89DB,0,1,measured
40,884E,0,1,measured
41,ABDC,0,1,measured
42,F639,0,1,measured
43,3DF3,0,1,measured
44,8833,0,1,measured
45,CFF3,0,1,measured
46,1EF7,0,1,measured
47,684B,0,1,measured
48,AF28,0,1,measured
49,F116,0,1,measured
50,2EF8,0,1,measured
51,6EEE,0,1,measured
52,C200,0,1,measured
53,0BBE,0,1,measured
54,53DF,0,1,measured
55,9CEF,0,1,measured
56,14F0,0,1,measured
57,5DE9,0,1,measured
58,A842,0,1,measured
59,F288,0,1,measured
60,3977,0,1,measured
61,8047,0,1,measured
62,C954,0,1,measured
63,F25B,0,1,measured
64,B180,0,1,measured
65,CD39,0,1,measured
66,1C77,0,1,measured
67,6402,0,1,measured
68,AE3C,0,1,measured
69,F619,0,1,measured
70,401E,0,1,measured
71,89E6,0,1,measured
72,D378,0,1,measured
73,461D,0,1,measured
74,6542,0,1,measured
75,AFAB,0,1,measured
76,F742,0,1,measured
77,4181,0,1,measured
78,8C54,0,1,measured
79,D3FD,0,1,measured
80,172D,0,1,measured
81,62F6,0,1,measured
82,D7AB,0,1,measured
83,F882,0,1,measured
84,42E9,0,1,measured
85,8A82,0,1,measured
86,D4B7,0,1,measured
87,1D64,0,1,measured
88,672C,0,1,measured
89,672C,0,1,measured
90,B057,0,1,measured
91,2447,0,1,measured
92,43C0,0,1,measured
93,8E24,0,1,measured
94,D868,0,1,measured
95,6390,0,1,measured
96,B1E6,0,1,measured
97,FB9F,0,1,measured
98,43EF,0,1,measured
99,B712,0,1,measured
100,D709,0,1,measured
101,2166,0,1,measured
102,6903,0,1,measured
103,B344,0,1,measured
104,FBF3,0,1,measured
105,45B5,0,1,measured
106,8EDF,0,1,measured
107,00D9,0,1,measured
108,2323,0,1,measured
109,68C6,0,1,measured
110,AE59,0,1,measured
111,AE59,0,1,measured
112,FAE4,0,1,measured
113,4483,0,1,measured
114,8E17,0,1,measured
115,D7E0,0,1,measured
116,203C,0,1,measured
117,957E,0,1,measured
118,AEC4,0,1,measured
119,F7D4,0,1,measured
120,4176,0,1,measured
121,D2DB,0,1,measured
122,1C1D,0,1,measured
123,66E7,0,1,measured
124,ADE9,0,1,measured
125,EC30,0,1,measured
126,2DEC,0,1,measured
127,76C8,0,1,measured
128,BFEB,0,1,measured
129,0FFE,0,1,measured
130,52E3,0,1,measured
131,A060,0,1,measured
132,EA41,0,1,measured
133,2E9E,0,1,measured
134,7C2F,0,1,measured
135,C5D8,0,1,measured
136,0EA1,0,1,measured
137,580A,0,1,measured
138,832C,0,1,measured
139,B152,0,1,measured
140,F0B9,0,1,measured
141,441B,0,1,measured
142,E9E6,0,1,measured
143,22D9,0,1,measured
144,6E52,0,1,measured
145,B6E1,0,1,measured
146,002A,0,1,measured
147,498D,0,1,measured
148,937B,0,1,measured
149,DC9B,0,1,measured
150,2542,0,1,measured
151,66D8,0,1,measured
152,A52D,0,1,measured
153,EE5C,0,1,measured
154,71CA,0,1,measured
155,95C2,0,1,measured
156,E374,0,1,measured
157,2D20,0,1,measured
158,7594,0,1,measured
159,BF04,0,1,measured
160,0839,0,1,measured
161,51E1,0,1,measured
162,98AF,0,1,measured
163,C539,0,1,measured
164,0EAC,0,1,measured
165,5777,0,1,measured
166,A097,0,1,measured
167,1D35,0,1,measured
168,366E,0,1,measured
169,7E92,0,1,measured
170,C222,0,1,measured
171,0F74,0,1,measured
172,58B4,0,1,measured
173,A262,0,1,measured
174,EB34,0,1,measured
175,33D9,0,1,measured
176,5F56,0,1,measured
177,8D0F,0,1,measured
178,D625,0,1,measured
179,2001,0,1,measured
180,D1B4,0,1,measured
181,02BA,0,1,measured
182,4BEA,0,1,measured
183,9637,0,1,measured
184,DE82,0,1,measured
185,201E,0,1,measured
186,6E7D,0,1,measured
187,D2FA,0,1,measured
188,0385,0,1,measured
189,4C9F,0,1,measured
190,9579,0,1,measured
