offset,seed,band,boots,how
6,4B25,0,1,measured
7,9476,0,1,measured
8,DDA7,0,1,measured
9,F077,0,1,measured
10,3542,0,1,measured
11,8365,0,1,measured
12,AB4E,0,1,measured
13,F4C0,0,1,measured
14,3D94,0,1,measured
15,86D3,0,1,measured
16,D013,0,1,measured
17,1953,0,1,measured
18,190F,0,1,measured
19,3B9F,0,1,measured
20,85F9,0,1,measured
21,CD31,0,1,measured
22,1A61,0,1,measured
23,5F2D,0,1,measured
24,A71A,0,1,measured
25,EBB6,0,1,measured
26,397E,0,1,measured
27,5984,0,1,measured
28,9787,0,1,measured
29,DFE0,0,1,measured
30,291A,0,1,measured
31,7269,0,1,measured
32,BBA8,0,1,measured
33,E46B,0,1,measured
34,F776,0,1,measured
35,40BF,0,1,measured
36,891C,0,1,measured
37,D253,0,1,measured
38,1B91,0,1,measured
39,64D3,0,1,measured
40,AA2F,0,1,measured
41,F758,0,1,measured
42,4094,0,1,measured
43,89D3,0,1,measured
44,8892,0,1,measured
45,AC16,0,1,measured
46,F683,0,1,measured
47,3E04,0,1,measured
48,885B,0,1,measured
49,D13E,0,1,measured
50,1EF7,0,1,measured
51,688D,0,1,measured
52,AF92,0,1,measured
53,F0A8,0,1,measured
54,2EF3,0,1,measured
55,6EF3,0,1,measured
56,C213,0,1,measured
57,0BF7,0,1,measured
58,5492,0,1,measured
59,9CF1,0,1,measured
60,CBFE,0,1,measured
61,14F2,0,1,measured
62,5DE6,0,1,measured
63,A848,0,1,measured
64,F2B6,0,1,measured
65,3988,0,1,measured
66,8051,0,1,measured
67,C955,0,1,measured
68,F25C,0,1,measured
69,B1D8,0,1,measured
70,CD6C,0,1,measured
71,1CBA,0,1,measured
72,6411,0,1,measured
73,AE7D,0,1,measured
74,F77C,0,1,measured
75,4028,0,1,measured
76,8A2D,0,1,measured
77,D3C1,0,1,measured
78,4671,0,1,measured
79,6578,0,1,measured
80,B008,0,1,measured
81,F751,0,1,measured
82,42F1,0,1,measured
83,8A1D,0,1,measured
84,D440,0,1,measured
85,1922,0,1,measured
86,62F7,0,1,measured
87,D7EC,0,1,measured
88,F8B8,0,1,measured
89,4341,0,1,measured
90,8A98,0,1,measured
91,D4ED,0,1,measured
92,1D64,0,1,measured
93,6778,0,1,measured
94,B09D,0,1,measured
95,2488,0,1,measured
96,4400,0,1,measured
97,9014,0,1,measured
98,D6EB,0,1,measured
99,1EC9,0,1,measured
100,63A6,0,1,measured
101,B1E0,0,1,measured
102,FBE0,0,1,measured
103,442F,0,1,measured
104,B74F,0,1,measured
105,D742,0,1,measured
106,21C0,0,1,measured
107,6927,0,1,measured
108,B37A,0,1,measured
109,FBEB,0,1,measured
110,45F9,0,1,measured
111,8F23,0,1,measured
112,032F,0,1,measured
113,21AB,0,1,measured
114,68EC,0,1,measured
115,AE76,0,1,measured
116,FC2C,0,1,measured
117,44A3,0,1,measured
118,8E21,0,1,measured
119,D82D,0,1,measured
120,2068,0,1,measured
121,95AF,0,1,measured
122,AEF3,0,1,measured
123,F80C,0,1,measured
124,41AD,0,1,measured
125,8A12,0,1,measured
126,D2EF,0,1,measured
127,1DBA,0,1,measured
128,658C,0,1,measured
129,ADE2,0,1,measured
130,EC4E,0,1,measured
131,2DEC,0,1,measured
132,76C6,0,1,measured
133,C132,0,1,measured
134,0FFD,0,1,measured
135,52E6,0,1,measured
136,A056,0,1,measured
137,EA4F,0,1,measured
138,2E96,0,1,measured
139,7C23,0,1,measured
140,C5FB,0,1,measured
141,0E97,0,1,measured
142,5850,0,1,measured
143,82FB,0,1,measured
144,B1F2,0,1,measured
145,F0C4,0,1,measured
146,4432,0,1,measured
147,EA39,0,1,measured
148,22DB,0,1,measured
149,6E6E,0,1,measured
150,B6E2,0,1,measured
151,002D,0,1,measured
152,498E,0,1,measured
153,9392,0,1,measured
154,DCC1,0,1,measured
155,254F,0,1,measured
156,66D8,0,1,measured
157,A56E,0,1,measured
158,EE1C,0,1,measured
159,7257,0,1,measured
160,95F5,0,1,measured
161,E3A6,0,1,measured
162,2D60,0,1,measured
163,759D,0,1,measured
164,BF2F,0,1,measured
165,087B,0,1,measured
166,5221,0,1,measured
167,98AB,0,1,measured
168,C53C,0,1,measured
169,0EA3,0,1,measured
170,5775,0,1,measured
171,A097,0,1,measured
172,1F31,0,1,measured
173,3506,0,1,measured
174,7EC6,0,1,measured
175,C246,0,1,measured
176,0F96,0,1,measured
177,58D3,0,1,measured
178,A284,0,1,measured
179,EB5B,0,1,measured
180,33E3,0,1,measured
181,5F68,0,1,measured
182,8E56,0,1,measured
183,D61E,0,1,measured
184,2020,0,1,measured
185,D161,0,1,measured
186,02F3,0,1,measured
187,4E66,0,1,measured
188,94BD,0,1,measured
189,DE6E,0,1,measured
190,232D,0,1,measured
191,713A,0,1,measured
192,D44D,0,1,measured
193,03C3,0,1,measured
194,4CE0,0,1,measured
195,957F,0,1,measured
196,DF2A,0,1,measured
197,28CD,0,1,measured
198,93D3,0,1,measured
199,BA72,0,1,measured
200,0729,0,1,measured
201,5306,0,1,measured
202,9B7D,0,1,measured
203,E08E,0,1,measured
204,2C87,0,1,measured
205,69C1,0,1,measured
206,BB71,0,1,measured
207,FD09,0,1,measured
208,3E91,0,1,measured
209,8405,0,1,measured
210,CD6A,0,1,measured
211,4FBC,0,1,measured
212,827B,0,1,measured
213,CB8E,0,1,measured
214,1756,0,1,measured
215,5DD1,0,1,measured
216,A798,0,1,measured
217,F1CA,0,1,measured
218,3698,0,1,measured
219,7FA8,0,1,measured
220,9FCC,0,1,measured
221,F53C,0,1,measured
222,3AB4,0,1,measured
223,8410,0,1,measured
224,07D3,0,1,measured
225,2BDD,0,1,measured
226,7502,0,1,measured
227,BEAA,0,1,measured
228,070C,0,1,measured
229,4FF7,0,1,measured
230,9929,0,1,measured
231,E2E9,0,1,measured
232,2C00,0,1,measured
233,5201,0,1,measured
234,8F3F,0,1,measured
235,D31F,0,1,measured
236,21FB,0,1,measured
237,6D8A,0,1,measured
238,B246,0,1,measured
239,FB07,0,1,measured
240,44EA,0,1,measured
241,8D85,0,1,measured
242,D6C3,0,1,measured
243,20AB,0,1,measured
244,6933,0,1,measured
245,B292,0,1,measured
246,DD5C,0,1,measured
247,0922,0,1,measured
248,5136,0,1,measured
249,1EE8,0,1,measured
250,2FA7,0,1,measured
251,7D91,0,1,measured
