offset,seed,band,boots,how
6,4B25,0,1,measured
7,9476,0,1,measured
8,DDA7,0,1,measured
9,F077,0,1,measured
10,3542,0,1,measured
11,8365,0,1,measured
12,AB4E,0,1,measured
13,F4C0,0,1,measured
14,3D94,0,1,measured
15,86D3,0,1,measured
16,D013,0,1,measured
17,1953,0,1,measured
18,18C2,0,1,measured
19,3B5F,0,1,measured
20,85AA,0,1,measured
21,CD32,0,1,measured
22,19E8,0,1,measured
23,5F0D,0,1,measured
24,A723,0,1,measured
25,EB99,0,1,measured
26,3956,0,1,measured
27,5977,0,1,measured
28,9787,0,1,measured
29,DFE0,0,1,measured
30,2924,0,1,measured
31,7269,0,1,measured
32,BBA8,0,1,measured
33,E46B,0,1,measured
34,F776,0,1,measured
35,40BF,0,1,measured
36,891C,0,1,measured
37,D253,0,1,measured
38,1B91,0,1,measured
39,64D3,0,1,measured
40,AA2F,0,1,measured
41,F758,0,1,measured
42,4094,0,1,measured
43,89D3,0,1,measured
44,8846,0,1,measured
45,ABE9,0,1,measured
46,F62F,0,1,measured
47,3DF5,0,1,measured
48,882D,0,1,measured
49,D109,0,1,measured
50,1EF7,0,1,measured
51,6857,0,1,measured
52,AF92,0,1,measured
53,F0A8,0,1,measured
54,2EF3,0,1,measured
55,6EF3,0,1,measured
56,C1FC,0,1,measured
57,0BB7,0,1,measured
58,547D,0,1,measured
59,9CE6,0,1,measured
60,CBE5,0,1,measured
61,14E8,0,1,measured
62,5DE6,0,1,measured
63,A848,0,1,measured
64,F290,0,1,measured
65,3975,0,1,measured
66,8048,0,1,measured
67,C95E,0,1,measured
68,F25C,0,1,measured
69,B18B,0,1,measured
70,CD36,0,1,measured
71,1C6C,0,1,measured
72,6405,0,1,measured
73,AE3D,0,1,measured
74,F749,0,1,measured
75,4028,0,1,measured
76,89E3,0,1,measured
77,D380,0,1,measured
78,461E,0,1,measured
79,6542,0,1,measured
80,AFB8,0,1,measured
81,F73A,0,1,measured
82,4295,0,1,measured
83,8A27,0,1,measured
84,D3EC,0,1,measured
85,18CE,0,1,measured
86,62F7,0,1,measured
87,D7A1,0,1,measured
88,F879,0,1,measured
89,42F8,0,1,measured
90,8A74,0,1,measured
91,D4C6,0,1,measured
92,1D6E,0,1,measured
93,6731,0,1,measured
94,B051,0,1,measured
95,2448,0,1,measured
96,43CD,0,1,measured
97,8FB4,0,1,measured
98,D6BE,0,1,measured
99,1EA9,0,1,measured
100,6388,0,1,measured
101,B1E0,0,1,measured
102,FBA0,0,1,measured
103,43F7,0,1,measured
104,B705,0,1,measured
105,D70D,0,1,measured
106,2169,0,1,measured
107,690E,0,1,measured
108,B350,0,1,measured
109,FBEB,0,1,measured
110,45AA,0,1,measured
111,8ED8,0,1,measured
112,02A5,0,1,measured
113,2169,0,1,measured
114,68D3,0,1,measured
115,AE43,0,1,measured
116,FC01,0,1,measured
117,4491,0,1,measured
118,8E15,0,1,measured
119,D7E0,0,1,measured
120,203E,0,1,measured
121,9578,0,1,measured
122,AEBE,0,1,measured
123,F7CD,0,1,measured
124,4180,0,1,measured
125,89FC,0,1,measured
126,D2DE,0,1,measured
127,1D8E,0,1,measured
128,657B,0,1,measured
129,ADE2,0,1,measured
130,EC31,0,1,measured
131,2DEC,0,1,measured
132,76BC,0,1,measured
133,C114,0,1,measured
134,1000,0,1,measured
135,52E6,0,1,measured
136,A060,0,1,measured
137,EA37,0,1,measured
138,2E96,0,1,measured
139,7C23,0,1,measured
140,C5DE,0,1,measured
141,0E97,0,1,measured
142,5846,0,1,measured
143,82E3,0,1,measured
144,B1DA,0,1,measured
145,F0C4,0,1,measured
146,441D,0,1,measured
147,EA32,0,1,measured
148,22E4,0,1,measured
149,6E52,0,1,measured
150,B6EE,0,1,measured
151,002D,0,1,measured
152,4995,0,1,measured
153,9379,0,1,measured
154,DCA6,0,1,measured
155,2543,0,1,measured
156,66D7,0,1,measured
157,A56E,0,1,measured
158,EE1C,0,1,measured
159,7220,0,1,measured
160,95BE,0,1,measured
161,E377,0,1,measured
162,2D29,0,1,measured
163,7595,0,1,measured
164,BF05,0,1,measured
165,083D,0,1,measured
166,51E2,0,1,measured
167,98AB,0,1,measured
168,C53C,0,1,measured
169,0EA3,0,1,measured
170,576D,0,1,measured
171,A097,0,1,measured
172,1EC3,0,1,measured
173,34CE,0,1,measured
174,7E91,0,1,measured
175,C21E,0,1,measured
176,0F7D,0,1,measured
177,58BD,0,1,measured
178,A263,0,1,measured
179,EB3E,0,1,measured
180,33E3,0,1,measured
181,5F52,0,1,measured
182,8E37,0,1,measured
183,D628,0,1,measured
184,2002,0,1,measured
185,D12B,0,1,measured
186,02BA,0,1,measured
187,4DE9,0,1,measured
188,94B3,0,1,measured
189,DE35,0,1,measured
190,22F6,0,1,measured
191,7100,0,1,measured
192,D417,0,1,measured
193,0387,0,1,measured
194,4C9E,0,1,measured
195,9574,0,1,measured
196,DEED,0,1,measured
197,2892,0,1,measured
198,9392,0,1,measured
199,BA34,0,1,measured
200,06EB,0,1,measured
201,52FF,0,1,measured
202,9B07,0,1,measured
203,E08C,0,1,measured
204,2C87,0,1,measured
205,69BA,0,1,measured
206,BB7D,0,1,measured
207,FD09,0,1,measured
208,3E91,0,1,measured
209,8405,0,1,measured
210,CD6A,0,1,measured
211,4F85,0,1,measured
212,824F,0,1,measured
213,CB62,0,1,measured
214,174A,0,1,measured
215,5DA5,0,1,measured
216,A763,0,1,measured
217,F1C1,0,1,measured
218,36A1,0,1,measured
219,7FA8,0,1,measured
220,9FCC,0,1,measured
221,F545,0,1,measured
222,3AB4,0,1,measured
223,8410,0,1,measured
224,079C,0,1,measured
225,2BAF,0,1,measured
226,74C2,0,1,measured
227,BE75,0,1,measured
228,06F7,0,1,measured
229,4FC5,0,1,measured
230,98F9,0,1,measured
231,E2C9,0,1,measured
232,2BDA,0,1,measured
233,51E2,0,1,measured
234,8F36,0,1,measured
235,D329,0,1,measured
236,21E8,0,1,measured
237,6D82,0,1,measured
238,B246,0,1,measured
239,FB07,0,1,measured
240,44C8,0,1,measured
241,8D85,0,1,measured
242,D6B9,0,1,measured
243,2096,0,1,measured
244,692B,0,1,measured
245,B291,0,1,measured
246,DD5C,0,1,measured
247,090A,0,1,measured
248,5136,0,1,measured
249,1ED1,0,1,measured
250,2F8F,0,1,measured
251,7D7A,0,1,measured
252,C73D,0,1,measured
