offset,seed,band,boots,how
6,835C,0,1,measured
7,AB57,0,1,measured
8,F4C9,0,1,measured
9,3D9E,0,1,measured
10,86D3,0,1,measured
11,D01C,0,1,measured
12,195C,0,1,measured
13,1919,0,1,measured
14,3B96,0,1,measured
15,8601,0,1,measured
16,8601,0,1,measured
17,CD41,0,1,measured
18,5F2D,0,1,measured
19,A71A,0,1,measured
20,EBB8,0,1,measured
21,3974,0,1,measured
22,5977,0,1,measured
23,9791,0,1,measured
24,DFE8,0,1,measured
25,291A,0,1,measured
26,726A,0,1,measured
27,BBA0,0,1,measured
28,E462,0,1,measured
29,F776,0,1,measured
30,40B6,0,1,measured
31,8913,0,1,measured
32,D25C,0,1,measured
33,1B99,0,1,measured
34,64DC,0,1,measured
35,AA37,0,1,measured
36,F74F,0,1,measured
37,F74F,0,1,measured
38,4094,0,1,measured
39,89DC,0,1,measured
40,889B,0,1,measured
41,AC20,0,1,measured
42,F683,0,1,measured
43,3E04,0,1,measured
44,8861,0,1,measured
45,D00F,0,1,measured
46,1EF7,0,1,measured
47,6883,0,1,measured
48,AF89,0,1,measured
49,F0A8,0,1,measured
50,2EFC,0,1,measured
51,6EF7,0,1,measured
52,C21D,0,1,measured
53,0BEB,0,1,measured
54,53E8,0,1,measured
55,9CE6,0,1,measured
56,14F1,0,1,measured
57,5DDC,0,1,measured
58,A852,0,1,measured
59,F2C2,0,1,measured
60,3988,0,1,measured
61,8048,0,1,measured
62,C95E,0,1,measured
63,F264,0,1,measured
64,B1D8,0,1,measured
65,CD6C,0,1,measured
66,1CBA,0,1,measured
67,641A,0,1,measured
68,AE6D,0,1,measured
69,F63B,0,1,measured
70,4028,0,1,measured
71,8A36,0,1,measured
72,D3C1,0,1,measured
73,4671,0,1,measured
74,6577,0,1,measured
75,B001,0,1,measured
76,F75A,0,1,measured
77,42ED,0,1,measured
78,8A1D,0,1,measured
79,D45E,0,1,measured
80,1922,0,1,measured
81,62F7,0,1,measured
82,D7F5,0,1,measured
83,F8BA,0,1,measured
84,4342,0,1,measured
85,8A98,0,1,measured
86,D4EF,0,1,measured
87,1D64,0,1,measured
88,6778,0,1,measured
89,6778,0,1,measured
90,B0A5,0,1,measured
91,2488,0,1,measured
92,4400,0,1,measured
93,900B,0,1,measured
94,D70E,0,1,measured
95,63A7,0,1,measured
96,B1E0,0,1,measured
97,FBE0,0,1,measured
98,442F,0,1,measured
99,B75A,0,1,measured
100,D741,0,1,measured
101,21B6,0,1,measured
