offset,seed,band,boots,how
6,9AD0,0,1,measured
7,C2CB,0,1,measured
8,0C3D,0,1,measured
9,5512,0,1,measured
10,9E47,0,1,measured
11,E790,0,1,measured
12,30D0,0,1,measured
13,308D,0,1,measured
14,530A,0,1,measured
15,9D75,0,1,measured
16,9D75,0,1,measured
17,E4B5,0,1,measured
18,76A1,0,1,measured
19,BE8E,0,1,measured
20,032C,0,1,measured
21,50E8,0,1,measured
22,70EB,0,1,measured
23,AF05,0,1,measured
24,F75C,0,1,measured
25,408E,0,1,measured
26,89DE,0,1,measured
27,D314,0,1,measured
28,FBD6,0,1,measured
29,0EEA,0,1,measured
30,582A,0,1,measured
31,A087,0,1,measured
32,E9D0,0,1,measured
33,330D,0,1,measured
34,7C50,0,1,measured
35,C1AB,0,1,measured
36,0EC3,0,1,measured
37,0EC3,0,1,measured
38,5808,0,1,measured
39,A150,0,1,measured
40,A00F,0,1,measured
41,C394,0,1,measured
42,0DF7,0,1,measured
43,5578,0,1,measured
44,9FD5,0,1,measured
45,E783,0,1,measured
46,366B,0,1,measured
47,7FF7,0,1,measured
48,C6FD,0,1,measured
49,081C,0,1,measured
50,4670,0,1,measured
51,866B,0,1,measured
52,D991,0,1,measured
53,235F,0,1,measured
54,6B5C,0,1,measured
55,B45A,0,1,measured
56,2C65,0,1,measured
57,7550,0,1,measured
58,BFC6,0,1,measured
59,0A36,0,1,measured
60,50FC,0,1,measured
61,97BC,0,1,measured
62,E0D2,0,1,measured
63,09D8,0,1,measured
64,C94C,0,1,measured
65,E4E0,0,1,measured
66,342E,0,1,measured
67,7B8E,0,1,measured
68,C5E1,0,1,measured
69,0DAF,0,1,measured
70,579C,0,1,measured
71,A1AA,0,1,measured
72,EB35,0,1,measured
73,5DE5,0,1,measured
74,7CEB,0,1,measured
75,C775,0,1,measured
76,0ECE,0,1,measured
77,5A61,0,1,measured
78,A191,0,1,measured
79,EBD2,0,1,measured
80,3096,0,1,measured
81,7A6B,0,1,measured
82,EF69,0,1,measured
83,102E,0,1,measured
84,5AB6,0,1,measured
85,A20C,0,1,measured
86,EC63,0,1,measured
87,34D8,0,1,measured
88,7EEC,0,1,measured
89,7EEC,0,1,measured
90,C819,0,1,measured
91,3BFC,0,1,measured
92,5B74,0,1,measured
93,A77F,0,1,measured
94,EE82,0,1,measured
95,7B1B,0,1,measured
96,C954,0,1,measured
97,1354,0,1,measured
98,5BA3,0,1,measured
99,CECE,0,1,measured
100,EEB5,0,1,measured
101,392A,0,1,measured
102,809B,0,1,measured
103,CAEE,0,1,measured
104,135F,0,1,measured
105,5D75,0,1,measured
106,A692,0,1,measured
107,1A9B,0,1,measured
108,392A,0,1,measured
109,8056,0,1,measured
110,C60D,0,1,measured
111,C60D,0,1,measured
112,1267,0,1,measured
113,5C0F,0,1,measured
114,A595,0,1,measured
115,EFA1,0,1,measured
116,37E7,0,1,measured
117,AD29,0,1,measured
118,C667,0,1,measured
119,0F77,0,1,measured
120,5921,0,1,measured
121,EA63,0,1,measured
122,3536,0,1,measured
123,7D09,0,1,measured
124,C557,0,1,measured
125,03C2,0,1,measured
126,4561,0,1,measured
127,8E3A,0,1,measured
128,D765,0,1,measured
129,2771,0,1,measured
130,6A58,0,1,measured
131,B7D4,0,1,measured
132,01D0,0,1,measured
133,4616,0,1,measured
134,939F,0,1,measured
135,DD6F,0,1,measured
136,260B,0,1,measured
137,6FC7,0,1,measured
138,9A6F,0,1,measured
139,C8BD,0,1,measured
140,0838,0,1,measured
141,5BA6,0,1,measured
142,016B,0,1,measured
143,3A5A,0,1,measured
144,85EE,0,1,measured
145,CE56,0,1,measured
146,17A7,0,1,measured
147,6109,0,1,measured
148,AB05,0,1,measured
149,F437,0,1,measured
150,3CB7,0,1,measured
151,7E4A,0,1,measured
152,BCE1,0,1,measured
153,0588,0,1,measured
154,8977,0,1,measured
155,AD5E,0,1,measured
156,FB1B,0,1,measured
157,44CB,0,1,measured
158,8D09,0,1,measured
159,D6AF,0,1,measured
160,1FE3,0,1,measured
161,698A,0,1,measured
162,B015,0,1,measured
163,DCA8,0,1,measured
164,2617,0,1,measured
165,6EE9,0,1,measured
166,B815,0,1,measured
167,36B8,0,1,measured
168,4C70,0,1,measured
169,9632,0,1,measured
170,D9B0,0,1,measured
171,270A,0,1,measured
172,7047,0,1,measured
173,B9EF,0,1,measured
174,02C7,0,1,measured
175,4B57,0,1,measured
176,76DC,0,1,measured
177,A490,0,1,measured
178,ED9A,0,1,measured
179,3794,0,1,measured
180,E95F,0,1,measured
181,1A6F,0,1,measured
182,65CE,0,1,measured
183,AC31,0,1,measured
184,F5E2,0,1,measured
185,3AA0,0,1,measured
186,88AD,0,1,measured
187,EB85,0,1,measured
188,1B31,0,1,measured
189,6454,0,1,measured
190,ACF3,0,1,measured
191,F69E,0,1,measured
192,4041,0,1,measured
193,AB3C,0,1,measured
194,D1F0,0,1,measured
195,1E96,0,1,measured
196,6A73,0,1,measured
197,B2EF,0,1,measured
198,F7F5,0,1,measured
199,43FB,0,1,measured
200,8135,0,1,measured
201,D2F1,0,1,measured
202,147E,0,1,measured
203,5605,0,1,measured
204,9B78,0,1,measured
205,E4DB,0,1,measured
206,66FE,0,1,measured
207,99EF,0,1,measured
208,E30C,0,1,measured
209,2EBE,0,1,measured
210,7551,0,1,measured
211,BF0E,0,1,measured
212,093E,0,1,measured
213,4E0C,0,1,measured
214,971C,0,1,measured
215,B73C,0,1,measured
216,0CB9,0,1,measured
217,5228,0,1,measured
218,9B84,0,1,measured
219,1ED7,0,1,measured
220,4351,0,1,measured
221,8C77,0,1,measured
222,D623,0,1,measured
223,1E7D,0,1,measured
224,6761,0,1,measured
225,B09D,0,1,measured
226,FA53,0,1,measured
227,4378,0,1,measured
228,6974,0,1,measured
229,A6AB,0,1,measured
230,EA9D,0,1,measured
231,3841,0,1,measured
232,848C,0,1,measured
233,C9B2,0,1,measured
234,1273,0,1,measured
235,5C55,0,1,measured
236,A4F9,0,1,measured
237,EE37,0,1,measured
238,3828,0,1,measured
239,80A7,0,1,measured
240,CA04,0,1,measured
241,F4D0,0,1,measured
242,2096,0,1,measured
243,68B3,0,1,measured
244,365C,0,1,measured
245,4723,0,1,measured
246,94FD,0,1,measured
247,DEE7,0,1,measured
248,2638,0,1,measured
249,704C,0,1,measured
250,B8BE,0,1,measured
251,0328,0,1,measured
252,4BF8,0,1,measured
253,8CF9,0,1,measured
254,CB3D,0,1,measured
255,1418,0,1,measured
256,5D45,0,1,measured
257,F4B4,0,1,measured
258,2997,0,1,measured
259,72B8,0,1,measured
260,B85E,0,1,measured
261,0466,0,1,measured
262,4E79,0,1,measured
263,96E4,0,1,measured
264,E0EF,0,1,measured
265,2957,0,1,measured
266,2957,0,1,measured
267,578A,0,1,measured
268,ADED,0,1,measured
269,ED16,0,1,measured
270,3658,0,1,measured
271,A9D5,0,1,measured
272,E6BE,0,1,measured
273,2EB9,0,1,measured
274,7762,0,1,measured
275,C0AD,0,1,measured
276,0621,0,1,measured
277,5335,0,1,measured
278,9C63,0,1,measured
279,E5A6,0,1,measured
280,2B3B,0,1,measured
281,73E7,0,1,measured
282,BA72,0,1,measured
283,69CF,0,1,measured
284,9503,0,1,measured
285,DE1B,0,1,measured
286,26C8,0,1,measured
287,7280,0,1,measured
288,B760,0,1,measured
289,1BE5,0,1,measured
290,47E2,0,1,measured
291,9591,0,1,measured
292,DF4B,0,1,measured
293,2795,0,1,measured
