offset,seed,band,boots,how
7,3197,0,1,measured
8,7B16,0,1,measured
9,C3DC,0,1,measured
10,0D21,0,1,measured
11,565C,0,1,measured
12,9FA5,0,1,measured
13,A15B,0,1,measured
14,C34D,0,1,measured
15,0A7F,0,1,measured
16,0A7F,0,1,measured
17,54BE,0,1,measured
18,E6B7,0,1,measured
19,308E,0,1,measured
20,71FF,0,1,measured
21,C0B7,0,1,measured
23,1DD1,0,1,measured
24,6625,0,1,measured
25,AF65,0,1,measured
26,F8B2,0,1,measured
27,41F2,0,1,measured
28,6AB4,0,1,measured
29,7DC1,0,1,measured
30,C6FF,0,1,measured
31,0F58,0,1,measured
32,58A6,0,1,measured
33,A1E5,0,1,measured
34,EB25,0,1,measured
35,3081,0,1,measured
36,7D9C,0,1,measured
37,7D9C,0,1,measured
38,C6E5,0,1,measured
39,1021,0,1,measured
40,0EDC,0,1,measured
41,3268,0,1,measured
42,7CC9,0,1,measured
43,C450,0,1,measured
44,0FE0,0,1,measured
45,5589,0,1,measured
46,A682,0,1,measured
47,EC57,0,1,measured
48,3564,0,1,measured
49,76EB,0,1,measured
50,B53C,0,1,measured
51,F541,0,1,measured
52,485B,0,1,measured
53,9232,0,1,measured
56,9B30,0,1,measured
57,E433,0,1,measured
58,30E2,0,1,measured
59,764B,0,1,measured
60,BEF3,0,1,measured
61,0691,0,1,measured
62,4F9E,0,1,measured
63,78A5,0,1,measured
64,3826,0,1,measured
65,53BD,0,1,measured
66,A301,0,1,measured
67,EA67,0,1,measured
68,34C0,0,1,measured
69,7C8C,0,1,measured
70,C672,0,1,measured
71,1081,0,1,measured
72,5A11,0,1,measured
73,CEA8,0,1,measured
74,ED25,0,1,measured
75,3475,0,1,measured
76,7ED0,0,1,measured
77,C67E,0,1,measured
78,1072,0,1,measured
79,5A7F,0,1,measured
80,9F68,0,1,measured
81,E941,0,1,measured
82,5E36,0,1,measured
83,7EF6,0,1,measured
84,C98E,0,1,measured
85,10E3,0,1,measured
86,5B40,0,1,measured
87,A3B3,0,1,measured
90,35E2,0,1,measured
91,AAEE,0,1,measured
92,CA4E,0,1,measured
93,14C9,0,1,measured
94,5C23,0,1,measured
95,E98E,0,1,measured
96,3829,0,1,measured
97,823E,0,1,measured
98,CBD0,0,1,measured
99,3E17,0,1,measured
100,5D8E,0,1,measured
101,A803,0,1,measured
102,EF6F,0,1,measured
103,3AFB,0,1,measured
104,8232,0,1,measured
105,CC65,0,1,measured
106,15C3,0,1,measured
108,A67E,0,1,measured
109,F0F7,0,1,measured
110,33AF,0,1,measured
111,33AF,0,1,measured
112,82C1,0,1,measured
113,CA82,0,1,measured
114,146D,0,1,measured
116,A80A,0,1,measured
117,1C71,0,1,measured
118,353E,0,1,measured
119,808D,0,1,measured
120,C72C,0,1,measured
121,593F,0,1,measured
122,A2E4,0,1,measured
123,EBE2,0,1,measured
124,3435,0,1,measured
125,72A1,0,1,measured
126,B436,0,1,measured
127,FD13,0,1,measured
129,9643,0,1,measured
130,D925,0,1,measured
131,26A0,0,1,measured
132,7098,0,1,measured
133,B528,0,1,measured
134,0326,0,1,measured
135,4B9E,0,1,measured
136,94DB,0,1,measured
138,0946,0,1,measured
139,383D,0,1,measured
140,7704,0,1,measured
141,CA85,0,1,measured
142,7038,0,1,measured
143,A921,0,1,measured
144,F4C3,0,1,measured
145,3D34,0,1,measured
146,867F,0,1,measured
147,CFD7,0,1,measured
148,1A1D,0,1,measured
149,6257,0,1,measured
150,AB89,0,1,measured
151,ED19,0,1,measured
152,2B78,0,1,measured
154,F84A,0,1,measured
156,69EF,0,1,measured
157,B3A5,0,1,measured
158,FBE1,0,1,measured
159,457A,0,1,measured
160,8EC4,0,1,measured
161,D86A,0,1,measured
162,1EED,0,1,measured
163,4B7E,0,1,measured
164,94E8,0,1,measured
165,DDBF,0,1,measured
167,A3BC,0,1,measured
168,BB50,0,1,measured
169,04A3,0,1,measured
170,4956,0,1,measured
171,963E,0,1,measured
172,DF17,0,1,measured
173,2857,0,1,measured
174,7208,0,1,measured
175,BAFD,0,1,measured
177,149E,0,1,measured
178,5CAE,0,1,measured
179,A530,0,1,measured
180,582C,0,1,measured
181,893A,0,1,measured
182,D25F,0,1,measured
183,1B05,0,1,measured
184,64B2,0,1,measured
185,A9BC,0,1,measured
186,F4C9,0,1,measured
187,5986,0,1,measured
188,8A0A,0,1,measured
189,D329,0,1,measured
190,1BC2,0,1,measured
191,6571,0,1,measured
192,AF15,0,1,measured
193,1BF3,0,1,measured
194,40BC,0,1,measured
195,8DE1,0,1,measured
196,D950,0,1,measured
197,1FC3,0,1,measured
198,6921,0,1,measured
199,B649,0,1,measured
200,F004,0,1,measured
201,42A5,0,1,measured
202,835C,0,1,measured
203,C4DA,0,1,measured
204,0A47,0,1,measured
205,53B2,0,1,measured
206,D5C6,0,1,measured
207,08CE,0,1,measured
209,9D98,0,1,measured
210,E41C,0,1,measured
211,2D8A,0,1,measured
212,7AA8,0,1,measured
213,BDCB,0,1,measured
214,05EA,0,1,measured
215,260A,0,1,measured
216,7B8E,0,1,measured
217,C106,0,1,measured
218,0A66,0,1,measured
219,8DA5,0,1,measured
220,B229,0,1,measured
221,FB42,0,1,measured
222,44F5,0,1,measured
223,8E69,0,1,measured
224,D63B,0,1,measured
225,1FE1,0,1,measured
226,68C5,0,1,measured
227,B112,0,1,measured
228,D84D,0,1,measured
229,1580,0,1,measured
230,5969,0,1,measured
231,A845,0,1,measured
232,F363,0,1,measured
233,388F,0,1,measured
234,8144,0,1,measured
235,CB34,0,1,measured
236,13C8,0,1,measured
237,5D0C,0,1,measured
238,A73C,0,1,measured
240,38CF,0,1,measured
241,6452,0,1,measured
243,D781,0,1,measured
244,A53D,0,1,measured
245,B5F9,0,1,measured
246,03D7,0,1,measured
247,4DB3,0,1,measured
249,DF23,0,1,measured
250,2794,0,1,measured
251,71FE,0,1,measured
252,BAC6,0,1,measured
253,FC10,0,1,measured
254,3A11,0,1,measured
255,82E0,0,1,measured
256,CC0E,0,1,measured
257,6273,0,1,measured
258,9866,0,1,measured
259,E18F,0,1,measured
260,26CD,0,1,measured
261,746E,0,1,measured
262,BC69,0,1,measured
263,0695,0,1,measured
264,4EF0,0,1,measured
265,9905,0,1,measured
266,9905,0,1,measured
267,C527,0,1,measured
268,1DFD,0,1,measured
269,5C2F,0,1,measured
271,18B1,0,1,measured
272,559A,0,1,measured
273,9D5E,0,1,measured
274,E641,0,1,measured
275,2F7A,0,1,measured
276,743D,0,1,measured
277,C2B2,0,1,measured
278,0B41,0,1,measured
279,547A,0,1,measured
280,9A18,0,1,measured
281,E2C8,0,1,measured
282,294B,0,1,measured
283,DA7F,0,1,measured
284,03DE,0,1,measured
285,4D53,0,1,measured
287,DF49,0,1,measured
288,2885,0,1,measured
289,8B1C,0,1,measured
290,B6A7,0,1,measured
291,0464,0,1,measured
292,4E20,0,1,measured
293,9665,0,1,measured
294,E00E,0,1,measured
295,294E,0,1,measured
296,8FA0,0,1,measured
297,BFA6,0,1,measured
298,5D15,0,1,measured
299,A76A,0,1,measured
300,F0C1,0,1,measured
301,39A4,0,1,measured
302,749B,0,1,measured
303,BCEF,0,1,measured
305,FA59,0,1,measured
306,3CF0,0,1,measured
307,85B1,0,1,measured
308,CEFD,0,1,measured
309,4F1D,0,1,measured
310,7B1F,0,1,measured
313,589D,0,1,measured
314,9D8D,0,1,measured
315,FCFB,0,1,measured
316,3121,0,1,measured
317,AE68,0,1,measured
318,F75F,0,1,measured
319,3BD8,0,1,measured
320,8949,0,1,measured
321,06F4,0,1,measured
322,2A33,0,1,measured
324,734E,0,1,measured
325,BCDE,0,1,measured
326,055E,0,1,measured
328,98F7,0,1,measured
329,E0B2,0,1,measured
330,291C,0,1,measured
331,6C23,0,1,measured
332,A903,0,1,measured
333,F1FB,0,1,measured
334,3B30,0,1,measured
335,7FE3,0,1,measured
336,2295,0,1,measured
337,6C9B,0,1,measured
338,B51E,0,1,measured
340,3C84,0,1,measured
341,850B,0,1,measured
344,DEA8,0,1,measured
345,271B,0,1,measured
346,6FC6,0,1,measured
347,2085,0,1,measured
349,9E49,0,1,measured
350,DADE,0,1,measured
351,3403,0,1,measured
352,79F5,0,1,measured
353,C34E,0,1,measured
354,10F1,0,1,measured
355,A19E,0,1,measured
356,E16B,0,1,measured
357,2854,0,1,measured
358,717B,0,1,measured
359,DCB4,0,1,measured
360,1887,0,1,measured
362,60D0,0,1,measured
363,AD52,0,1,measured
364,F36B,0,1,measured
365,2F17,0,1,measured
366,85F1,0,1,measured
367,D37D,0,1,measured
368,1925,0,1,measured
369,45A3,0,1,measured
372,216F,0,1,measured
373,A2FB,0,1,measured
374,21DE,0,1,measured
375,6A20,0,1,measured
376,B347,0,1,measured
377,FC85,0,1,measured
378,1C17,0,1,measured
379,603F,0,1,measured
381,AD94,0,1,measured
382,DD94,0,1,measured
383,0842,0,1,measured
384,513E,0,1,measured
385,9B50,0,1,measured
386,4183,0,1,measured
387,7C88,0,1,measured
388,C68A,0,1,measured
389,0EE6,0,1,measured
390,581C,0,1,measured
391,A208,0,1,measured
392,FABF,0,1,measured
393,8965,0,1,measured
394,CEAC,0,1,measured
395,1BF8,0,1,measured
396,6521,0,1,measured
397,A2B8,0,1,measured
398,010F,0,1,measured
400,3823,0,1,measured
401,81E6,0,1,measured
403,1403,0,1,measured
404,5D9C,0,1,measured
405,A64C,0,1,measured
407,38B7,0,1,measured
408,7A75,0,1,measured
410,F851,0,1,measured
412,0420,0,1,measured
413,4D3B,0,1,measured
414,9657,0,1,measured
415,DF9F,0,1,measured
416,1DC3,0,1,measured
417,74AF,0,1,measured
419,B197,0,1,measured
420,FAB7,0,1,measured
421,2373,0,1,measured
422,6CE6,0,1,measured
423,B5AD,0,1,measured
424,3242,0,1,measured
425,4FC9,0,1,measured
426,9D60,0,1,measured
427,E715,0,1,measured
428,2F70,0,1,measured
429,785D,0,1,measured
430,C197,0,1,measured
431,6072,0,1,measured
432,A27F,0,1,measured
433,DF13,0,1,measured
434,27DF,0,1,measured
435,6557,0,1,measured
436,AEAF,0,1,measured
438,F7D2,0,1,measured
440,8691,0,1,measured
441,D399,0,1,measured
442,1CD3,0,1,measured
443,66AA,0,1,measured
