offset,seed,band,boots,how
6,8364,0,1,measured
7,AB57,0,1,measured
8,F4D6,0,1,measured
9,3D99,0,1,measured
10,86DC,0,1,measured
11,D025,0,1,measured
12,1965,0,1,measured
13,18D4,0,1,measured
14,3B72,0,1,measured
15,85B8,0,1,measured
16,85B8,0,1,measured
17,CD3B,0,1,measured
18,6136,0,1,measured
19,A790,0,1,measured
20,EBA1,0,1,measured
21,3968,0,1,measured
22,598D,0,1,measured
23,978F,0,1,measured
24,DFF2,0,1,measured
25,292D,0,1,measured
26,7272,0,1,measured
27,BBB2,0,1,measured
28,E474,0,1,measured
29,F783,0,1,measured
30,40C3,0,1,measured
31,891F,0,1,measured
32,D265,0,1,measured
33,1BA5,0,1,measured
34,64E3,0,1,measured
35,AA38,0,1,measured
36,F75C,0,1,measured
37,F75C,0,1,measured
38,40A1,0,1,measured
39,89DC,0,1,measured
40,885B,0,1,measured
41,ABF1,0,1,measured
42,F638,0,1,measured
43,3DF2,0,1,measured
44,883A,0,1,measured
45,CFF7,0,1,measured
46,1F01,0,1,measured
47,685F,0,1,measured
48,AF25,0,1,measured
49,F117,0,1,measured
50,2EF9,0,1,measured
51,6EFA,0,1,measured
52,C202,0,1,measured
53,0BC0,0,1,measured
54,53E9,0,1,measured
55,9CF0,0,1,measured
56,14F8,0,1,measured
57,5DF1,0,1,measured
58,A855,0,1,measured
59,F293,0,1,measured
60,397D,0,1,measured
61,8051,0,1,measured
62,C968,0,1,measured
63,F270,0,1,measured
64,B197,0,1,measured
65,CD39,0,1,measured
66,1C79,0,1,measured
67,6402,0,1,measured
68,AE4E,0,1,measured
69,F61A,0,1,measured
70,402A,0,1,measured
71,89FA,0,1,measured
72,D37F,0,1,measured
73,462D,0,1,measured
74,6542,0,1,measured
75,AFBF,0,1,measured
76,F742,0,1,measured
77,418E,0,1,measured
78,8C53,0,1,measured
79,D3FD,0,1,measured
80,173E,0,1,measured
81,6300,0,1,measured
82,D7B4,0,1,measured
83,F88C,0,1,measured
84,42FF,0,1,measured
85,8A84,0,1,measured
86,D4C3,0,1,measured
87,1D6D,0,1,measured
88,673D,0,1,measured
89,673D,0,1,measured
90,B062,0,1,measured
91,244F,0,1,measured
92,43D8,0,1,measured
93,8E3A,0,1,measured
94,D86F,0,1,measured
95,6398,0,1,measured
96,B1F0,0,1,measured
97,FBA2,0,1,measured
98,43F9,0,1,measured
99,B713,0,1,measured
100,D70D,0,1,measured
101,217C,0,1,measured
102,6917,0,1,measured
103,B353,0,1,measured
104,FBFC,0,1,measured
105,45B5,0,1,measured
106,8EE5,0,1,measured
107,00EC,0,1,measured
108,232E,0,1,measured
109,68D1,0,1,measured
110,AE6C,0,1,measured
111,AE6C,0,1,measured
112,FAED,0,1,measured
113,4497,0,1,measured
114,8E26,0,1,measured
115,D7E0,0,1,measured
116,203D,0,1,measured
117,9589,0,1,measured
118,AEC6,0,1,measured
119,F7DF,0,1,measured
120,4188,0,1,measured
121,D2E2,0,1,measured
122,1C21,0,1,measured
123,66E7,0,1,measured
124,ADF3,0,1,measured
125,EC42,0,1,measured
126,2DF6,0,1,measured
127,76CC,0,1,measured
128,BFF6,0,1,measured
129,1007,0,1,measured
130,52E3,0,1,measured
131,A060,0,1,measured
132,EA40,0,1,measured
133,2EA8,0,1,measured
134,7C30,0,1,measured
135,C5E1,0,1,measured
136,0EA8,0,1,measured
137,5808,0,1,measured
138,833D,0,1,measured
139,B151,0,1,measured
140,F0CD,0,1,measured
141,4430,0,1,measured
142,E9FC,0,1,measured
143,22E3,0,1,measured
144,6E64,0,1,measured
145,B6F4,0,1,measured
146,0035,0,1,measured
147,4997,0,1,measured
148,937B,0,1,measured
149,DCA7,0,1,measured
150,254B,0,1,measured
151,66D7,0,1,measured
152,A52E,0,1,measured
153,EE70,0,1,measured
154,71D1,0,1,measured
155,95CD,0,1,measured
156,E37F,0,1,measured
157,2D2F,0,1,measured
158,759E,0,1,measured
159,BF05,0,1,measured
160,0845,0,1,measured
161,51EC,0,1,measured
162,98AD,0,1,measured
163,C539,0,1,measured
164,0EAD,0,1,measured
165,577E,0,1,measured
166,A0AA,0,1,measured
167,1D49,0,1,measured
168,3676,0,1,measured
169,7E95,0,1,measured
170,C222,0,1,measured
171,0F87,0,1,measured
172,58C7,0,1,measured
173,A26B,0,1,measured
174,EB3E,0,1,measured
175,33EC,0,1,measured
176,5F5F,0,1,measured
177,8D22,0,1,measured
178,D627,0,1,measured
179,200C,0,1,measured
180,D1BE,0,1,measured
181,02CF,0,1,measured
182,4BF0,0,1,measured
183,963F,0,1,measured
184,DE93,0,1,measured
185,2027,0,1,measured
186,6E88,0,1,measured
187,D310,0,1,measured
188,0399,0,1,measured
189,4CB0,0,1,measured
190,9582,0,1,measured
191,DEF7,0,1,measured
192,28A5,0,1,measured
193,93A6,0,1,measured
194,BA3E,0,1,measured
195,06F4,0,1,measured
196,5311,0,1,measured
197,9949,0,1,measured
198,E2F5,0,1,measured
199,2D6F,0,1,measured
200,69C3,0,1,measured
201,BB79,0,1,measured
202,FD15,0,1,measured
203,3E9A,0,1,measured
204,8411,0,1,measured
205,CD67,0,1,measured
206,4F5C,0,1,measured
207,8257,0,1,measured
208,CB62,0,1,measured
209,1751,0,1,measured
210,5DAE,0,1,measured
211,A766,0,1,measured
212,F1CD,0,1,measured
213,36A7,0,1,measured
214,7FA7,0,1,measured
215,9FD2,0,1,measured
216,F54D,0,1,measured
217,3AC5,0,1,measured
218,8426,0,1,measured
219,072A,0,1,measured
220,2BB2,0,1,measured
221,74D4,0,1,measured
222,BE86,0,1,measured
223,0700,0,1,measured
224,4FD6,0,1,measured
225,98FE,0,1,measured
226,E2D0,0,1,measured
227,2B91,0,1,measured
228,522E,0,1,measured
229,8F46,0,1,measured
230,D332,0,1,measured
231,20CE,0,1,measured
232,6D23,0,1,measured
233,B242,0,1,measured
234,FB08,0,1,measured
235,44D2,0,1,measured
236,8D8D,0,1,measured
237,D6C2,0,1,measured
238,209F,0,1,measured
239,6940,0,1,measured
240,B28B,0,1,measured
241,DD66,0,1,measured
242,08CA,0,1,measured
243,521A,0,1,measured
244,1ED8,0,1,measured
245,2FA0,0,1,measured
246,7D87,0,1,measured
247,C73A,0,1,measured
248,0ECD,0,1,measured
249,58CB,0,1,measured
250,A154,0,1,measured
251,EBA8,0,1,measured
252,3470,0,1,measured
253,758B,0,1,measured
254,B3C6,0,1,measured
255,FCAD,0,1,measured
256,45CE,0,1,measured
257,DC0B,0,1,measured
258,12F8,0,1,measured
259,5B33,0,1,measured
260,A0B9,0,1,measured
261,ED00,0,1,measured
262,36EF,0,1,measured
263,7F78,0,1,measured
264,C96F,0,1,measured
265,11E6,0,1,measured
266,11E6,0,1,measured
267,3FF8,0,1,measured
268,9675,0,1,measured
269,D582,0,1,measured
270,1ECD,0,1,measured
271,9271,0,1,measured
272,CF42,0,1,measured
273,1726,0,1,measured
274,601B,0,1,measured
275,A93A,0,1,measured
276,EE88,0,1,measured
277,3BBE,0,1,measured
278,84F8,0,1,measured
279,CE3A,0,1,measured
280,13CF,0,1,measured
281,5C6A,0,1,measured
282,A303,0,1,measured
283,522C,0,1,measured
284,7D66,0,1,measured
285,C670,0,1,measured
286,0F56,0,1,measured
287,58D2,0,1,measured
288,A266,0,1,measured
289,051A,0,1,measured
290,303F,0,1,measured
291,7DF0,0,1,measured
292,C7A7,0,1,measured
293,1031,0,1,measured
294,5999,0,1,measured
295,A2D9,0,1,measured
296,091F,0,1,measured
297,3936,0,1,measured
298,D6D5,0,1,measured
299,20F4,0,1,measured
300,6A07,0,1,measured
301,AFCB,0,1,measured
302,ED73,0,1,measured
303,36AF,0,1,measured
305,7417,0,1,measured
306,B6AF,0,1,measured
307,FF72,0,1,measured
308,48B6,0,1,measured
309,C8A8,0,1,measured
310,F4AE,0,1,measured
311,3DC9,0,1,measured
312,868F,0,1,measured
313,D027,0,1,measured
314,19BB,0,1,measured
315,77AB,0,1,measured
316,AAE5,0,1,measured
317,282C,0,1,measured
318,711B,0,1,measured
319,B598,0,1,measured
320,0312,0,1,measured
321,8082,0,1,measured
322,A3B4,0,1,measured
324,ECB8,0,1,measured
325,366B,0,1,measured
326,7F07,0,1,measured
327,C7BC,0,1,measured
328,1103,0,1,measured
329,5ACA,0,1,measured
330,A38E,0,1,measured
331,E4B1,0,1,measured
332,23E9,0,1,measured
333,6BF9,0,1,measured
334,B4E7,0,1,measured
335,F9AC,0,1,measured
336,9C56,0,1,measured
337,E636,0,1,measured
338,2EDA,0,1,measured
339,7829,0,1,measured
340,B61C,0,1,measured
341,FECB,0,1,measured
343,2A88,0,1,measured
344,57BA,0,1,measured
345,A160,0,1,measured
346,EA22,0,1,measured
347,9995,0,1,measured
