offset,seed,band,boots,how
6,3AAF,0,1,measured
7,62AA,0,1,measured
8,AC13,0,1,measured
9,F4EF,0,1,measured
10,3E26,0,1,measured
11,8766,0,1,measured
12,D0A6,0,1,measured
13,D062,0,1,measured
14,F2E9,0,1,measured
15,3D49,0,1,measured
16,3D49,0,1,measured
17,879D,0,1,measured
18,1679,0,1,measured
19,5E76,0,1,measured
20,A301,0,1,measured
21,F0C7,0,1,measured
22,10D5,0,1,measured
23,4EE4,0,1,measured
24,9733,0,1,measured
25,E078,0,1,measured
26,29B3,0,1,measured
27,72FC,0,1,measured
28,9BB5,0,1,measured
29,AED2,0,1,measured
30,F811,0,1,measured
31,406F,0,1,measured
32,89A4,0,1,measured
33,D2EF,0,1,measured
34,1C26,0,1,measured
35,6182,0,1,measured
36,AEA2,0,1,measured
37,AEA2,0,1,measured
38,F7F1,0,1,measured
39,412F,0,1,measured
40,3FE5,0,1,measured
41,6369,0,1,measured
42,ADCC,0,1,measured
43,F55E,0,1,measured
44,3FAA,0,1,measured
45,8761,0,1,measured
46,D64A,0,1,measured
47,203C,0,1,measured
48,6673,0,1,measured
49,A7F5,0,1,measured
50,E650,0,1,measured
51,2648,0,1,measured
52,796E,0,1,measured
53,C33E,0,1,measured
54,0B3B,0,1,measured
55,5439,0,1,measured
56,CC3B,0,1,measured
57,1539,0,1,measured
58,5F9B,0,1,measured
59,AA11,0,1,measured
60,F0DB,0,1,measured
61,379B,0,1,measured
62,80A7,0,1,measured
63,A9AF,0,1,measured
64,691F,0,1,measured
65,84C7,0,1,measured
66,D40B,0,1,measured
67,1B66,0,1,measured
68,65C3,0,1,measured
69,AD8D,0,1,measured
70,F780,0,1,measured
71,4183,0,1,measured
72,8B14,0,1,measured
73,FDC5,0,1,measured
74,1CC4,0,1,measured
75,674B,0,1,measured
76,B176,0,1,measured
77,F78F,0,1,measured
78,417C,0,1,measured
79,8BB7,0,1,measured
80,D06D,0,1,measured
81,1A4A,0,1,measured
82,8F3F,0,1,measured
83,B00A,0,1,measured
84,FA99,0,1,measured
85,41DF,0,1,measured
86,8C44,0,1,measured
87,D4B8,0,1,measured
88,1ECC,0,1,measured
89,1ECC,0,1,measured
90,67F0,0,1,measured
91,DBE7,0,1,measured
92,FEB6,0,1,measured
93,43F5,0,1,measured
94,8E6C,0,1,measured
95,1AF1,0,1,measured
96,6934,0,1,measured
97,B33D,0,1,measured
98,FB80,0,1,measured
99,6EA2,0,1,measured
100,8E97,0,1,measured
101,D915,0,1,measured
102,2072,0,1,measured
103,6AD2,0,1,measured
104,B347,0,1,measured
105,FD49,0,1,measured
106,4881,0,1,measured
107,B8FD,0,1,measured
108,D791,0,1,measured
109,21FC,0,1,measured
110,64B9,0,1,measured
111,64B9,0,1,measured
112,B3C0,0,1,measured
113,FB95,0,1,measured
114,4570,0,1,measured
115,8F95,0,1,measured
116,D920,0,1,measured
117,4D73,0,1,measured
118,664F,0,1,measured
119,AF5F,0,1,measured
120,F908,0,1,measured
121,8B5B,0,1,measured
122,D3FB,0,1,measured
123,1CE2,0,1,measured
124,6536,0,1,measured
125,A3AA,0,1,measured
126,E54A,0,1,measured
127,2E19,0,1,measured
128,7744,0,1,measured
129,C747,0,1,measured
130,0A37,0,1,measured
131,57AA,0,1,measured
132,A1AC,0,1,measured
133,E5F2,0,1,measured
134,337E,0,1,measured
135,7D4E,0,1,measured
136,C63B,0,1,measured
137,0F50,0,1,measured
138,3A59,0,1,measured
139,689B,0,1,measured
140,A817,0,1,measured
141,FB91,0,1,measured
142,A14A,0,1,measured
143,DA3A,0,1,measured
144,25C0,0,1,measured
145,6E39,0,1,measured
146,B77E,0,1,measured
147,00E9,0,1,measured
148,4AE1,0,1,measured
149,9418,0,1,measured
150,DC96,0,1,measured
151,1E72,0,1,measured
152,5C80,0,1,measured
153,A569,0,1,measured
154,2961,0,1,measured
155,4D48,0,1,measured
156,9AFA,0,1,measured
157,E4AA,0,1,measured
158,2CE8,0,1,measured
159,768E,0,1,measured
160,BFC2,0,1,measured
161,0969,0,1,measured
162,4FFD,0,1,measured
163,7C8F,0,1,measured
164,C600,0,1,measured
165,0EC8,0,1,measured
166,57EB,0,1,measured
167,D4C0,0,1,measured
168,EC59,0,1,measured
169,35A2,0,1,measured
170,7A69,0,1,measured
171,C74F,0,1,measured
172,1020,0,1,measured
173,5961,0,1,measured
174,A31D,0,1,measured
175,EBFE,0,1,measured
176,1582,0,1,measured
177,45A7,0,1,measured
178,8D71,0,1,measured
179,D63B,0,1,measured
180,8930,0,1,measured
181,BC21,0,1,measured
182,03D0,0,1,measured
183,4C12,0,1,measured
184,95BF,0,1,measured
185,DA7F,0,1,measured
186,2881,0,1,measured
187,8B64,0,1,measured
188,BB1B,0,1,measured
189,0432,0,1,measured
190,4CC9,0,1,measured
191,967E,0,1,measured
192,E01C,0,1,measured
193,4B1B,0,1,measured
194,71CF,0,1,measured
195,BE7D,0,1,measured
196,0C0F,0,1,measured
197,5119,0,1,measured
198,97D9,0,1,measured
199,E3CC,0,1,measured
200,2114,0,1,measured
201,72CD,0,1,measured
202,B466,0,1,measured
203,F5DA,0,1,measured
204,3B57,0,1,measured
205,84BA,0,1,measured
206,06D2,0,1,measured
207,39DB,0,1,measured
208,82EB,0,1,measured
209,CEA6,0,1,measured
210,1524,0,1,measured
211,5EE3,0,1,measured
212,A91C,0,1,measured
213,EDEC,0,1,measured
214,36FB,0,1,measured
215,5714,0,1,measured
216,AC9B,0,1,measured
217,F20F,0,1,measured
218,3B63,0,1,measured
219,BEAB,0,1,measured
220,E333,0,1,measured
221,2C54,0,1,measured
222,75FD,0,1,measured
223,BE68,0,1,measured
224,074A,0,1,measured
225,5061,0,1,measured
226,9B54,0,1,measured
227,E21D,0,1,measured
228,0957,0,1,measured
229,468A,0,1,measured
230,8A7C,0,1,measured
231,D817,0,1,measured
232,2461,0,1,measured
233,6999,0,1,measured
234,B25A,0,1,measured
235,FC3D,0,1,measured
236,44CF,0,1,measured
237,8E0C,0,1,measured
238,D807,0,1,measured
239,207E,0,1,measured
240,69DA,0,1,measured
241,95A0,0,1,measured
242,BF79,0,1,measured
243,088B,0,1,measured
244,D646,0,1,measured
245,E6FA,0,1,measured
246,34E4,0,1,measured
247,7EC8,0,1,measured
248,C61F,0,1,measured
249,102B,0,1,measured
250,5895,0,1,measured
251,A314,0,1,measured
252,EBD7,0,1,measured
253,2CD8,0,1,measured
254,6B1C,0,1,measured
255,B3F7,0,1,measured
256,FD5F,0,1,measured
257,937F,0,1,measured
258,C96F,0,1,measured
259,12A2,0,1,measured
260,57D1,0,1,measured
261,A57E,0,1,measured
262,ED78,0,1,measured
263,3793,0,1,measured
264,8005,0,1,measured
265,CA09,0,1,measured
266,CA09,0,1,measured
267,F631,0,1,measured
268,4F02,0,1,measured
269,8CEA,0,1,measured
270,D4F4,0,1,measured
271,4AEA,0,1,measured
272,86C0,0,1,measured
273,CE67,0,1,measured
274,1741,0,1,measured
275,6080,0,1,measured
276,A553,0,1,measured
277,F3C1,0,1,measured
278,3C41,0,1,measured
279,8584,0,1,measured
280,CB19,0,1,measured
281,13C5,0,1,measured
282,5A5A,0,1,measured
283,09B3,0,1,measured
284,34DF,0,1,measured
285,7DF6,0,1,measured
286,C85C,0,1,measured
287,10AE,0,1,measured
288,574A,0,1,measured
289,BBC3,0,1,measured
290,E7C0,0,1,measured
291,3575,0,1,measured
292,7F28,0,1,measured
293,C77A,0,1,measured
294,111B,0,1,measured
295,5A56,0,1,measured
296,C0A1,0,1,measured
297,F0BE,0,1,measured
298,8E21,0,1,measured
299,D86B,0,1,measured
300,2185,0,1,measured
301,670E,0,1,measured
302,A4C2,0,1,measured
303,EE04,0,1,measured
304,2B6B,0,1,measured
305,2B6B,0,1,measured
306,6DF1,0,1,measured
307,B6C5,0,1,measured
308,0000,0,1,measured
309,802E,0,1,measured
310,AC33,0,1,measured
311,F548,0,1,measured
312,3DDB,0,1,measured
313,87AC,0,1,measured
314,D13B,0,1,measured
315,2EF6,0,1,measured
316,622C,0,1,measured
317,DF77,0,1,measured
318,285F,0,1,measured
319,6CE3,0,1,measured
320,BA5D,0,1,measured
321,37F8,0,1,measured
322,5B2D,0,1,measured
323,A459,0,1,measured
324,A459,0,1,measured
325,EDE3,0,1,measured
326,3671,0,1,measured
327,7F29,0,1,measured
328,C86C,0,1,measured
329,1233,0,1,measured
330,5AEB,0,1,measured
331,9D80,0,1,measured
332,DA19,0,1,measured
333,2308,0,1,measured
334,6C33,0,1,measured
335,B0F7,0,1,measured
336,539D,0,1,measured
337,9DA7,0,1,measured
338,E624,0,1,measured
339,2F74,0,1,measured
340,6D8F,0,1,measured
341,B620,0,1,measured
342,E1CC,0,1,measured
343,E1CC,0,1,measured
344,0F06,0,1,measured
345,58CF,0,1,measured
346,A1D8,0,1,measured
347,518F,0,1,measured
348,82AF,0,1,measured
349,CF5C,0,1,measured
350,0BDF,0,1,measured
351,6509,0,1,measured
352,AB02,0,1,measured
353,F465,0,1,measured
354,4204,0,1,measured
355,D2AC,0,1,measured
356,126C,0,1,measured
357,5911,0,1,measured
358,A28B,0,1,measured
359,0D26,0,1,measured
360,4A79,0,1,measured
361,91E1,0,1,measured
362,91E1,0,1,measured
363,DE68,0,1,measured
364,2476,0,1,measured
365,6028,0,1,measured
366,B6FC,0,1,measured
367,0488,0,1,measured
368,4A39,0,1,measured
369,76A5,0,1,measured
370,C36B,0,1,measured
371,0910,0,1,measured
372,5276,0,1,measured
373,D221,0,1,measured
374,52A4,0,1,measured
375,9C5A,0,1,measured
376,E448,0,1,measured
377,2D9A,0,1,measured
378,4D24,0,1,measured
