offset,seed,band,boots,how
6,836D,0,1,measured
7,AB5F,0,1,measured
8,F4D5,0,1,measured
9,3D97,0,1,measured
10,86E4,0,1,measured
11,D024,0,1,measured
12,1964,0,1,measured
13,18D4,0,1,measured
14,3B67,0,1,measured
15,85BE,0,1,measured
16,85BE,0,1,measured
17,CD45,0,1,measured
18,6142,0,1,measured
19,A7AB,0,1,measured
20,EB98,0,1,measured
21,395E,0,1,measured
22,5983,0,1,measured
23,9795,0,1,measured
24,DFF0,0,1,measured
25,2922,0,1,measured
26,7272,0,1,measured
27,BBA8,0,1,measured
28,E46A,0,1,measured
29,F782,0,1,measured
30,40C1,0,1,measured
31,891C,0,1,measured
32,D264,0,1,measured
33,1BA4,0,1,measured
34,64E1,0,1,measured
35,AA3F,0,1,measured
36,F764,0,1,measured
37,F764,0,1,measured
38,40A0,0,1,measured
39,89DC,0,1,measured
40,8857,0,1,measured
41,ABE7,0,1,measured
42,F637,0,1,measured
43,3DFD,0,1,measured
44,8831,0,1,measured
45,CFFC,0,1,measured
46,1EFF,0,1,measured
47,6854,0,1,measured
48,AF2E,0,1,measured
49,F122,0,1,measured
50,2F01,0,1,measured
51,6F00,0,1,measured
52,C20A,0,1,measured
53,0BC7,0,1,measured
54,53F0,0,1,measured
55,9CF9,0,1,measured
56,14F9,0,1,measured
57,5DE9,0,1,measured
58,A854,0,1,measured
59,F291,0,1,measured
60,3974,0,1,measured
61,8050,0,1,measured
62,C966,0,1,measured
63,F26F,0,1,measured
64,B197,0,1,measured
65,CD43,0,1,measured
66,1C76,0,1,measured
67,640D,0,1,measured
68,AE45,0,1,measured
69,F62B,0,1,measured
70,4031,0,1,measured
71,89F5,0,1,measured
72,D384,0,1,measured
73,4626,0,1,measured
74,6541,0,1,measured
75,AFC0,0,1,measured
76,F742,0,1,measured
77,418D,0,1,measured
78,8C4D,0,1,measured
79,D3F8,0,1,measured
80,173D,0,1,measured
81,6306,0,1,measured
82,D7B2,0,1,measured
83,F881,0,1,measured
84,4300,0,1,measured
85,8A82,0,1,measured
86,D4CC,0,1,measured
87,1D78,0,1,measured
88,6733,0,1,measured
89,6733,0,1,measured
90,B059,0,1,measured
91,2450,0,1,measured
92,43D7,0,1,measured
93,8E31,0,1,measured
94,D866,0,1,measured
95,639C,0,1,measured
96,B1F1,0,1,measured
97,FB9B,0,1,measured
98,43FF,0,1,measured
99,B710,0,1,measured
100,D708,0,1,measured
101,2173,0,1,measured
102,690D,0,1,measured
103,B359,0,1,measured
104,FBF8,0,1,measured
105,45BD,0,1,measured
106,8EDB,0,1,measured
107,00EB,0,1,measured
108,232D,0,1,measured
109,68D9,0,1,measured
110,AE6B,0,1,measured
111,AE6B,0,1,measured
112,FAE4,0,1,measured
113,448E,0,1,measured
114,8E2A,0,1,measured
115,D7E5,0,1,measured
116,203E,0,1,measured
117,9580,0,1,measured
118,AECD,0,1,measured
119,F7D5,0,1,measured
120,417F,0,1,measured
121,D2D9,0,1,measured
122,1C1E,0,1,measured
123,66E7,0,1,measured
124,ADE8,0,1,measured
125,EC39,0,1,measured
126,2DFD,0,1,measured
127,76D1,0,1,measured
128,BFF4,0,1,measured
129,1007,0,1,measured
130,52EC,0,1,measured
131,A068,0,1,measured
