offset,seed,band,boots,how
6,836C,0,1,measured
7,AB55,0,1,measured
8,F4CA,0,1,measured
9,3D96,0,1,measured
10,86DA,0,1,measured
11,D01A,0,1,measured
12,195A,0,1,measured
13,18CA,0,1,measured
14,3B71,0,1,measured
15,85B5,0,1,measured
16,85B5,0,1,measured
17,CD3B,0,1,measured
18,6140,0,1,measured
19,A78E,0,1,measured
20,EB97,0,1,measured
21,3966,0,1,measured
22,598B,0,1,measured
23,978B,0,1,measured
24,DFE7,0,1,measured
25,292B,0,1,measured
26,7270,0,1,measured
27,BBB0,0,1,measured
28,E472,0,1,measured
29,F78A,0,1,measured
30,40C1,0,1,measured
31,8923,0,1,measured
32,D25A,0,1,measured
33,1B9C,0,1,measured
34,64D7,0,1,measured
35,AA3F,0,1,measured
36,F762,0,1,measured
37,F762,0,1,measured
38,4096,0,1,measured
39,89E3,0,1,measured
40,884F,0,1,measured
41,ABF1,0,1,measured
42,F635,0,1,measured
43,3DF1,0,1,measured
44,8833,0,1,measured
45,CFEC,0,1,measured
46,1F07,0,1,measured
47,685D,0,1,measured
48,AF26,0,1,measured
49,F115,0,1,measured
50,2EF7,0,1,measured
51,6EF6,0,1,measured
52,C208,0,1,measured
53,0BBE,0,1,measured
54,53EF,0,1,measured
55,9CF0,0,1,measured
56,14EE,0,1,measured
57,5DE7,0,1,measured
58,A84A,0,1,measured
59,F28F,0,1,measured
60,3972,0,1,measured
61,8058,0,1,measured
62,C95F,0,1,measured
63,F26C,0,1,measured
64,B18C,0,1,measured
65,CD37,0,1,measured
66,1C7D,0,1,measured
67,6404,0,1,measured
68,AE4C,0,1,measured
69,F618,0,1,measured
70,402E,0,1,measured
71,89F7,0,1,measured
72,D380,0,1,measured
73,4621,0,1,measured
74,653F,0,1,measured
75,AFB3,0,1,measured
76,F741,0,1,measured
77,4185,0,1,measured
78,8C4A,0,1,measured
79,D3FC,0,1,measured
80,1734,0,1,measured
81,62FE,0,1,measured
82,D7B2,0,1,measured
83,F87F,0,1,measured
84,42FD,0,1,measured
85,8A81,0,1,measured
86,D4BF,0,1,measured
87,1D6D,0,1,measured
88,673C,0,1,measured
89,673C,0,1,measured
90,B058,0,1,measured
91,244D,0,1,measured
92,43CB,0,1,measured
93,8E36,0,1,measured
94,D870,0,1,measured
95,638E,0,1,measured
96,B1E6,0,1,measured
97,FB9F,0,1,measured
98,4400,0,1,measured
99,B711,0,1,measured
100,D710,0,1,measured
101,2172,0,1,measured
102,6917,0,1,measured
103,B355,0,1,measured
104,FBF2,0,1,measured
105,45B4,0,1,measured
106,8EDF,0,1,measured
107,00EA,0,1,measured
108,232E,0,1,measured
109,68D6,0,1,measured
110,AE6A,0,1,measured
111,AE6A,0,1,measured
112,FAE3,0,1,measured
113,448D,0,1,measured
114,8E28,0,1,measured
115,D7EC,0,1,measured
116,203D,0,1,measured
117,957E,0,1,measured
118,AECE,0,1,measured
119,F7D3,0,1,measured
120,417E,0,1,measured
121,D2E1,0,1,measured
122,1C25,0,1,measured
123,66E5,0,1,measured
124,ADE8,0,1,measured
125,EC40,0,1,measured
126,2DFC,0,1,measured
127,76D1,0,1,measured
128,BFFD,0,1,measured
129,1005,0,1,measured
130,52E1,0,1,measured
131,A05E,0,1,measured
132,EA48,0,1,measured
133,2E9C,0,1,measured
134,7C2E,0,1,measured
135,C5DF,0,1,measured
136,0EA1,0,1,measured
137,5808,0,1,measured
138,833B,0,1,measured
139,B150,0,1,measured
140,F0C2,0,1,measured
141,4425,0,1,measured
142,E9FA,0,1,measured
143,22EA,0,1,measured
144,6E5C,0,1,measured
145,B6F1,0,1,measured
146,0032,0,1,measured
147,4994,0,1,measured
148,9378,0,1,measured
149,DCA1,0,1,measured
150,2553,0,1,measured
151,66D5,0,1,measured
152,A52C,0,1,measured
153,EE6E,0,1,measured
154,71D7,0,1,measured
155,95C3,0,1,measured
156,E37D,0,1,measured
157,2D2D,0,1,measured
158,75A4,0,1,measured
159,BF03,0,1,measured
160,0844,0,1,measured
161,51F3,0,1,measured
162,98B6,0,1,measured
163,C539,0,1,measured
164,0EAE,0,1,measured
165,577D,0,1,measured
166,A09F,0,1,measured
167,1D47,0,1,measured
168,366C,0,1,measured
169,7E99,0,1,measured
170,C220,0,1,measured
171,0F7F,0,1,measured
172,58C4,0,1,measured
173,A272,0,1,measured
174,EB45,0,1,measured
175,33EA,0,1,measured
176,5F5D,0,1,measured
177,8D20,0,1,measured
178,D625,0,1,measured
179,2012,0,1,measured
180,D1B3,0,1,measured
181,02CC,0,1,measured
182,4BE9,0,1,measured
183,9648,0,1,measured
184,DE87,0,1,measured
185,202D,0,1,measured
186,6E86,0,1,measured
187,D306,0,1,measured
188,0396,0,1,measured
189,4CB0,0,1,measured
190,958B,0,1,measured
191,DEED,0,1,measured
192,28A3,0,1,measured
193,939A,0,1,measured
194,BA33,0,1,measured
195,06F1,0,1,measured
196,530E,0,1,measured
197,994B,0,1,measured
198,E2F9,0,1,measured
199,2D64,0,1,measured
200,69C1,0,1,measured
201,BB79,0,1,measured
202,FD1B,0,1,measured
203,3E98,0,1,measured
204,840F,0,1,measured
205,CD62,0,1,measured
206,4F5A,0,1,measured
207,824F,0,1,measured
208,CB60,0,1,measured
209,1759,0,1,measured
210,5DA2,0,1,measured
211,A76E,0,1,measured
212,F1CB,0,1,measured
213,36A9,0,1,measured
214,7FA4,0,1,measured
215,9FD0,0,1,measured
216,F54B,0,1,measured
217,3AB9,0,1,measured
218,841D,0,1,measured
219,0720,0,1,measured
220,2BAB,0,1,measured
221,74C7,0,1,measured
222,BE7C,0,1,measured
223,06F6,0,1,measured
224,4FCD,0,1,measured
225,9904,0,1,measured
226,E2D3,0,1,measured
227,2B8F,0,1,measured
228,522A,0,1,measured
229,8F44,0,1,measured
230,D327,0,1,measured
231,20CC,0,1,measured
232,6D21,0,1,measured
233,B249,0,1,measured
234,FB0F,0,1,measured
235,44D9,0,1,measured
236,8D83,0,1,measured
237,D6C9,0,1,measured
238,209D,0,1,measured
239,693E,0,1,measured
240,B289,0,1,measured
241,DD6B,0,1,measured
242,08C8,0,1,measured
243,5221,0,1,measured
244,1ED6,0,1,measured
245,2F9E,0,1,measured
