offset,seed,band,boots,how
6,9AD0,0,1,measured
7,C2CB,0,1,measured
8,0C38,0,1,measured
9,550C,0,1,measured
10,9E52,0,1,measured
11,E790,0,1,measured
12,30C7,0,1,measured
13,3083,0,1,measured
14,5312,0,1,measured
15,9D6D,0,1,measured
16,9D6D,0,1,measured
17,E4B1,0,1,measured
18,78E7,0,1,measured
19,BF07,0,1,measured
20,032C,0,1,measured
21,50F2,0,1,measured
22,70F8,0,1,measured
23,AF01,0,1,measured
24,F755,0,1,measured
25,409A,0,1,measured
26,89DD,0,1,measured
27,D314,0,1,measured
28,FBD6,0,1,measured
29,0EF7,0,1,measured
30,582F,0,1,measured
31,A087,0,1,measured
32,E9D0,0,1,measured
33,3307,0,1,measured
34,7C45,0,1,measured
35,C1A3,0,1,measured
36,0EC7,0,1,measured
37,0EC7,0,1,measured
38,5803,0,1,measured
39,A150,0,1,measured
40,A00F,0,1,measured
41,C392,0,1,measured
42,0DED,0,1,measured
43,557F,0,1,measured
44,9FD5,0,1,measured
45,E77E,0,1,measured
46,366C,0,1,measured
47,7FF7,0,1,measured
48,C69D,0,1,measured
49,088B,0,1,measured
50,4665,0,1,measured
51,8663,0,1,measured
52,D98B,0,1,measured
53,236C,0,1,measured
54,6B5D,0,1,measured
55,B464,0,1,measured
56,2C5C,0,1,measured
57,755E,0,1,measured
58,BFB7,0,1,measured
59,0A2B,0,1,measured
60,50FC,0,1,measured
61,97BC,0,1,measured
62,E0C9,0,1,measured
63,09D0,0,1,measured
64,C941,0,1,measured
65,E4E4,0,1,measured
66,342D,0,1,measured
67,7B94,0,1,measured
68,C5EC,0,1,measured
69,0DAE,0,1,measured
70,57A1,0,1,measured
71,A1A6,0,1,measured
72,EB2F,0,1,measured
73,5DE5,0,1,measured
74,7CEB,0,1,measured
75,C76C,0,1,measured
76,0EC7,0,1,measured
77,592A,0,1,measured
78,A413,0,1,measured
79,EBBE,0,1,measured
80,2EE0,0,1,measured
81,7A75,0,1,measured
82,EF6B,0,1,measured
83,102B,0,1,measured
84,5ABA,0,1,measured
85,A207,0,1,measured
86,EC67,0,1,measured
87,34E2,0,1,measured
88,7EED,0,1,measured
89,7EED,0,1,measured
90,C811,0,1,measured
91,3C08,0,1,measured
92,5B6D,0,1,measured
93,A5EA,0,1,measured
94,F020,0,1,measured
95,7B1A,0,1,measured
96,C955,0,1,measured
97,135E,0,1,measured
98,5BA1,0,1,measured
99,CEC9,0,1,measured
100,EEB0,0,1,measured
101,392A,0,1,measured
102,8093,0,1,measured
103,CAF3,0,1,measured
104,1368,0,1,measured
105,5D6A,0,1,measured
106,A69E,0,1,measured
107,18A4,0,1,measured
108,3B25,0,1,measured
109,8053,0,1,measured
110,C60B,0,1,measured
111,C60B,0,1,measured
112,1271,0,1,measured
113,5C19,0,1,measured
114,A58C,0,1,measured
115,EFA4,0,1,measured
116,37E8,0,1,measured
117,AD2F,0,1,measured
118,C670,0,1,measured
119,0F81,0,1,measured
120,5921,0,1,measured
121,EA5E,0,1,measured
122,33A9,0,1,measured
123,7E89,0,1,measured
124,C55E,0,1,measured
125,03CB,0,1,measured
126,4561,0,1,measured
127,8E3D,0,1,measured
128,D76D,0,1,measured
129,2773,0,1,measured
130,6A58,0,1,measured
131,B7D5,0,1,measured
132,01CD,0,1,measured
133,4613,0,1,measured
134,93A7,0,1,measured
135,DD6B,0,1,measured
136,260C,0,1,measured
137,6F7F,0,1,measured
138,9AB9,0,1,measured
139,C8C3,0,1,measured
140,082E,0,1,measured
141,5BA9,0,1,measured
142,0164,0,1,measured
143,3A4E,0,1,measured
144,85E1,0,1,measured
145,CE5B,0,1,measured
146,179F,0,1,measured
147,610A,0,1,measured
148,AB05,0,1,measured
149,F42B,0,1,measured
150,3CB7,0,1,measured
151,7E4A,0,1,measured
152,BC98,0,1,measured
153,05D1,0,1,measured
154,8974,0,1,measured
155,AD6D,0,1,measured
156,FB16,0,1,measured
157,44CB,0,1,measured
158,8D09,0,1,measured
159,D6AF,0,1,measured
160,1FE3,0,1,measured
161,698A,0,1,measured
162,B024,0,1,measured
163,DCA4,0,1,measured
164,2621,0,1,measured
165,6EEC,0,1,measured
166,B80C,0,1,measured
167,34E1,0,1,measured
168,4E45,0,1,measured
169,963D,0,1,measured
170,D9AC,0,1,measured
171,270A,0,1,measured
172,7051,0,1,measured
173,B9EF,0,1,measured
174,02C7,0,1,measured
175,4B57,0,1,measured
176,76E8,0,1,measured
177,A48D,0,1,measured
178,ED93,0,1,measured
179,3794,0,1,measured
180,E951,0,1,measured
181,1A6E,0,1,measured
182,6392,0,1,measured
183,ADDF,0,1,measured
184,F634,0,1,measured
185,3793,0,1,measured
186,85F2,0,1,measured
187,EAA6,0,1,measured
188,1B3B,0,1,measured
189,6453,0,1,measured
190,ACEE,0,1,measured
191,F690,0,1,measured
192,403D,0,1,measured
193,AB3C,0,1,measured
194,D1F0,0,1,measured
195,1E9E,0,1,measured
196,6A7B,0,1,measured
197,B0EB,0,1,measured
198,FA9D,0,1,measured
199,44D0,0,1,measured
200,8135,0,1,measured
201,D2EE,0,1,measured
202,147E,0,1,measured
203,55FB,0,1,measured
204,9B7C,0,1,measured
205,E4DB,0,1,measured
206,66F3,0,1,measured
207,99FC,0,1,measured
208,E30C,0,1,measured
209,2EC7,0,1,measured
210,7545,0,1,measured
211,BF07,0,1,measured
212,093B,0,1,measured
213,4E0D,0,1,measured
214,971A,0,1,measured
215,B735,0,1,measured
216,0CBC,0,1,measured
217,5230,0,1,measured
218,9B87,0,1,measured
219,1EC7,0,1,measured
220,434E,0,1,measured
221,8C6A,0,1,measured
222,D61E,0,1,measured
223,1E89,0,1,measured
224,676B,0,1,measured
225,B08F,0,1,measured
226,FA58,0,1,measured
227,4313,0,1,measured
228,69BE,0,1,measured
229,A6B2,0,1,measured
230,EA9D,0,1,measured
231,3838,0,1,measured
232,8486,0,1,measured
233,C9B6,0,1,measured
234,127B,0,1,measured
235,5C5E,0,1,measured
236,A4F9,0,1,measured
237,EE2D,0,1,measured
238,3828,0,1,measured
239,80A2,0,1,measured
240,C9FF,0,1,measured
241,F4D9,0,1,measured
242,204D,0,1,measured
243,699D,0,1,measured
244,3663,0,1,measured
245,471B,0,1,measured
246,950A,0,1,measured
247,DED9,0,1,measured
248,2639,0,1,measured
249,704C,0,1,measured
250,B8BE,0,1,measured
251,0335,0,1,measured
252,4BF8,0,1,measured
253,8CFC,0,1,measured
254,CB3A,0,1,measured
255,1418,0,1,measured
256,5D42,0,1,measured
257,F394,0,1,measured
258,2AA1,0,1,measured
259,72C1,0,1,measured
260,B863,0,1,measured
261,046C,0,1,measured
262,4E70,0,1,measured
263,96E3,0,1,measured
264,E0EF,0,1,measured
265,2956,0,1,measured
266,2956,0,1,measured
267,578A,0,1,measured
268,ADFA,0,1,measured
269,ED10,0,1,measured
270,3661,0,1,measured
271,A9E8,0,1,measured
272,E6C7,0,1,measured
273,2E9C,0,1,measured
274,7799,0,1,measured
275,C0B7,0,1,measured
276,0624,0,1,measured
277,533E,0,1,measured
278,9C6C,0,1,measured
279,E5BB,0,1,measured
280,2B4D,0,1,measured
281,73FE,0,1,measured
282,BA77,0,1,measured
283,69DE,0,1,measured
284,951A,0,1,measured
285,DE1F,0,1,measured
286,26D1,0,1,measured
287,707D,0,1,measured
288,BA09,0,1,measured
289,1CC7,0,1,measured
290,47E3,0,1,measured
291,959F,0,1,measured
292,DF5C,0,1,measured
