offset,seed,band,boots,how
8,7B12,0,1,measured
9,C3DC,0,1,measured
10,0D25,0,1,measured
12,9FA3,0,1,measured
13,9F0C,0,1,measured
14,C1A6,0,1,measured
15,0BF3,0,1,measured
16,0BF3,0,1,measured
17,5384,0,1,measured
22,DFC1,0,1,measured
23,1DDB,0,1,measured
24,6629,0,1,measured
27,41F0,0,1,measured
28,6AB4,0,1,measured
29,7DBF,0,1,measured
30,C701,0,1,measured
31,0F65,0,1,measured
36,7D99,0,1,measured
37,7D99,0,1,measured
38,C6E6,0,1,measured
39,1025,0,1,measured
41,3232,0,1,measured
42,7DFC,0,1,measured
43,C548,0,1,measured
44,0CF2,0,1,measured
45,558E,0,1,measured
46,A78A,0,1,measured
51,F53C,0,1,measured
52,4848,0,1,measured
53,9200,0,1,measured
54,DAC3,0,1,measured
55,2338,0,1,measured
56,9BA6,0,1,measured
57,E503,0,1,measured
59,78D3,0,1,measured
64,37D6,0,1,measured
65,537F,0,1,measured
66,A2B9,0,1,measured
67,EA44,0,1,measured
69,7C5C,0,1,measured
71,12B1,0,1,measured
72,5607,0,1,measured
73,CB17,0,1,measured
74,EB8C,0,1,measured
78,106B,0,1,measured
79,5A3D,0,1,measured
80,9EC7,0,1,measured
81,EBB8,0,1,measured
85,10C0,0,1,measured
86,5C23,0,1,measured
87,A3AB,0,1,measured
88,ED9F,0,1,measured
89,ED9F,0,1,measured
90,36EF,0,1,measured
91,AB14,0,1,measured
92,CA0E,0,1,measured
93,1472,0,1,measured
94,5C18,0,1,measured
95,E96C,0,1,measured
97,81F5,0,1,measured
99,3DC8,0,1,measured
100,5D59,0,1,measured
101,A940,0,1,measured
102,F068,0,1,measured
103,3832,0,1,measured
104,8234,0,1,measured
105,CBF5,0,1,measured
106,1573,0,1,measured
107,87B2,0,1,measured
108,A651,0,1,measured
114,145C,0,1,measured
115,5E3F,0,1,measured
116,A7CA,0,1,measured
117,1DD8,0,1,measured
118,350E,0,1,measured
119,7E8E,0,1,measured
120,C707,0,1,measured
121,5920,0,1,measured
122,A2D2,0,1,measured
127,FD06,0,1,measured
128,4754,0,1,measured
129,9647,0,1,measured
131,2779,0,1,measured
132,6FEE,0,1,measured
133,B4E8,0,1,measured
134,02FD,0,1,measured
135,4B97,0,1,measured
137,DE48,0,1,measured
141,CA6E,0,1,measured
142,703E,0,1,measured
146,86BD,0,1,measured
147,D064,0,1,measured
148,1926,0,1,measured
149,6260,0,1,measured
150,AB8B,0,1,measured
155,1C07,0,1,measured
156,69C3,0,1,measured
157,B367,0,1,measured
158,FBDF,0,1,measured
162,1EE9,0,1,measured
163,4B87,0,1,measured
164,94EF,0,1,measured
166,26E3,0,1,measured
169,0464,0,1,measured
170,4921,0,1,measured
176,E5E3,0,1,measured
177,135C,0,1,measured
178,5C67,0,1,measured
180,57F6,0,1,measured
183,1B00,0,1,measured
184,6486,0,1,measured
185,A991,0,1,measured
190,1BC9,0,1,measured
191,670E,0,1,measured
192,AC69,0,1,measured
193,18FC,0,1,measured
195,8D3D,0,1,measured
197,1F87,0,1,measured
198,6937,0,1,measured
199,B3AF,0,1,measured
200,F00B,0,1,measured
204,0A4E,0,1,measured
205,53B2,0,1,measured
206,D73B,0,1,measured
207,088C,0,1,measured
208,5212,0,1,measured
210,E3E4,0,1,measured
211,2D5A,0,1,measured
212,7A7C,0,1,measured
214,05F0,0,1,measured
215,260B,0,1,measured
218,0A61,0,1,measured
219,8D70,0,1,measured
220,B1ED,0,1,measured
221,FD13,0,1,measured
222,4402,0,1,measured
223,8CD1,0,1,measured
224,D60F,0,1,measured
225,1FC5,0,1,measured
227,B115,0,1,measured
228,D82E,0,1,measured
232,F359,0,1,measured
233,3886,0,1,measured
234,8150,0,1,measured
236,1416,0,1,measured
237,5D94,0,1,measured
238,A645,0,1,measured
239,EF73,0,1,measured
240,38D9,0,1,measured
241,643F,0,1,measured
242,8F0B,0,1,measured
246,03C3,0,1,measured
247,4D7D,0,1,measured
248,9517,0,1,measured
251,7230,0,1,measured
252,BA14,0,1,measured
254,3A0A,0,1,measured
255,82E6,0,1,measured
256,CC0E,0,1,measured
258,9849,0,1,measured
260,268F,0,1,measured
261,7455,0,1,measured
262,BC7C,0,1,measured
267,C713,0,1,measured
268,1C1F,0,1,measured
269,5B40,0,1,measured
270,A47C,0,1,measured
271,18A8,0,1,measured
272,557A,0,1,measured
275,2F77,0,1,measured
276,743F,0,1,measured
277,C291,0,1,measured
279,547C,0,1,measured
281,E2A6,0,1,measured
282,2946,0,1,measured
283,D86D,0,1,measured
286,959E,0,1,measured
288,28A2,0,1,measured
289,8B64,0,1,measured
290,B677,0,1,measured
294,DFD1,0,1,measured
295,2914,0,1,measured
296,9106,0,1,measured
297,BF7A,0,1,measured
301,3974,0,1,measured
302,749C,0,1,measured
303,BCF1,0,1,measured
306,3CF1,0,1,measured
307,85B2,0,1,measured
309,4EEC,0,1,measured
310,7AEB,0,1,measured
311,C617,0,1,measured
312,0CC3,0,1,measured
313,5664,0,1,measured
314,9FA9,0,1,measured
315,004F,0,1,measured
316,31F7,0,1,measured
317,AE65,0,1,measured
322,29F4,0,1,measured
323,72FF,0,1,measured
324,72FF,0,1,measured
325,BCA4,0,1,measured
326,064B,0,1,measured
327,4DF9,0,1,measured
328,97B8,0,1,measured
330,2910,0,1,measured
331,6C07,0,1,measured
332,A907,0,1,measured
333,F1F5,0,1,measured
334,3C42,0,1,measured
336,2293,0,1,measured
337,6C85,0,1,measured
339,FE71,0,1,measured
340,3CA5,0,1,measured
341,8514,0,1,measured
342,B0C4,0,1,measured
343,B0C4,0,1,measured
344,DE94,0,1,measured
345,271E,0,1,measured
346,6FC4,0,1,measured
347,2067,0,1,measured
351,3405,0,1,measured
352,79F9,0,1,measured
353,C353,0,1,measured
354,10E4,0,1,measured
355,A1E0,0,1,measured
356,E16A,0,1,measured
358,717F,0,1,measured
359,DCA6,0,1,measured
365,2F14,0,1,measured
366,85F4,0,1,measured
