offset,seed,band,boots,how
7,AB53,0,1,measured
8,F4D7,0,1,measured
14,3BA2,0,1,measured
15,860C,0,1,measured
16,860C,0,1,measured
17,D04C,0,1,measured
18,5F37,0,1,measured
20,EBBF,0,1,measured
21,397C,0,1,measured
22,5986,0,1,measured
23,9794,0,1,measured
26,7272,0,1,measured
28,E470,0,1,measured
29,F78D,0,1,measured
30,40C7,0,1,measured
31,891C,0,1,measured
32,D259,0,1,measured
33,1B9C,0,1,measured
34,64E5,0,1,measured
35,AA3D,0,1,measured
36,F766,0,1,measured
37,F766,0,1,measured
38,40A5,0,1,measured
43,3E0D,0,1,measured
44,8868,0,1,measured
45,D011,0,1,measured
47,68F6,0,1,measured
48,AF28,0,1,measured
49,F0B4,0,1,measured
50,2EF8,0,1,measured
51,6EF8,0,1,measured
53,0BF7,0,1,measured
56,14EC,0,1,measured
57,5DF3,0,1,measured
58,A851,0,1,measured
59,F2C0,0,1,measured
61,8054,0,1,measured
62,C966,0,1,measured
63,F25F,0,1,measured
64,B1E7,0,1,measured
65,CD7D,0,1,measured
70,4027,0,1,measured
71,8A46,0,1,measured
72,D3D1,0,1,measured
73,4672,0,1,measured
76,FA38,0,1,measured
77,403A,0,1,measured
78,8A35,0,1,measured
79,D46D,0,1,measured
84,4349,0,1,measured
85,8AA7,0,1,measured
92,4769,0,1,measured
93,8CBC,0,1,measured
94,D717,0,1,measured
95,63B0,0,1,measured
98,4428,0,1,measured
99,B75F,0,1,measured
100,D74E,0,1,measured
102,6924,0,1,measured
103,B38D,0,1,measured
105,45FA,0,1,measured
106,913B,0,1,measured
107,01BB,0,1,measured
108,2045,0,1,measured
109,6AB7,0,1,measured
110,AD65,0,1,measured
111,AD65,0,1,measured
112,FC81,0,1,measured
113,4440,0,1,measured
114,8E2D,0,1,measured
115,D84A,0,1,measured
116,21D0,0,1,measured
117,9630,0,1,measured
118,AF06,0,1,measured
119,F80C,0,1,measured
120,41BB,0,1,measured
121,D419,0,1,measured
122,1CB1,0,1,measured
123,65A1,0,1,measured
126,2DFB,0,1,measured
127,76CB,0,1,measured
128,BFF9,0,1,measured
130,52E5,0,1,measured
133,2EA4,0,1,measured
134,7C39,0,1,measured
135,C605,0,1,measured
136,0EE7,0,1,measured
137,580F,0,1,measured
138,8306,0,1,measured
139,B15C,0,1,measured
140,F0C0,0,1,measured
141,4442,0,1,measured
148,9392,0,1,measured
151,6721,0,1,measured
152,A536,0,1,measured
153,EE28,0,1,measured
154,7206,0,1,measured
155,95F9,0,1,measured
156,E3B8,0,1,measured
161,5227,0,1,measured
162,98B2,0,1,measured
167,1D7C,0,1,measured
169,7E63,0,1,measured
170,C31F,0,1,measured
171,0FFB,0,1,measured
172,58DF,0,1,measured
173,A220,0,1,measured
174,EBC8,0,1,measured
175,34B9,0,1,measured
176,5E47,0,1,measured
177,8E5E,0,1,measured
178,D629,0,1,measured
179,1EFA,0,1,measured
180,D1EC,0,1,measured
181,04CC,0,1,measured
182,4C89,0,1,measured
183,94C3,0,1,measured
184,DE7D,0,1,measured
189,4CE3,0,1,measured
190,958E,0,1,measured
191,DF31,0,1,measured
195,0734,0,1,measured
196,54BA,0,1,measured
197,99D3,0,1,measured
203,3E95,0,1,measured
204,840A,0,1,measured
206,4F8D,0,1,measured
210,5DDF,0,1,measured
211,A7A6,0,1,measured
212,F1D1,0,1,measured
213,36AC,0,1,measured
217,3AC2,0,1,measured
218,8426,0,1,measured
219,075F,0,1,measured
220,2BE5,0,1,measured
223,071E,0,1,measured
224,4FFC,0,1,measured
225,9937,0,1,measured
226,E405,0,1,measured
227,2ADC,0,1,measured
228,520B,0,1,measured
229,8F40,0,1,measured
231,20CA,0,1,measured
232,6D23,0,1,measured
233,B24F,0,1,measured
234,FB08,0,1,measured
235,44EA,0,1,measured
238,20B0,0,1,measured
239,6939,0,1,measured
241,DE56,0,1,measured
242,0838,0,1,measured
243,514A,0,1,measured
244,1EF5,0,1,measured
245,2FB4,0,1,measured
246,7D98,0,1,measured
252,348A,0,1,measured
253,7593,0,1,measured
256,461E,0,1,measured
257,DC29,0,1,measured
258,122E,0,1,measured
259,5B4B,0,1,measured
260,A08D,0,1,measured
261,EE2C,0,1,measured
262,3630,0,1,measured
263,8053,0,1,measured
264,C8B3,0,1,measured
265,12C5,0,1,measured
266,12C5,0,1,measured
267,3EE3,0,1,measured
268,97BD,0,1,measured
269,D5A7,0,1,measured
270,1DB3,0,1,measured
271,93A9,0,1,measured
272,CF76,0,1,measured
273,1724,0,1,measured
274,5FF4,0,1,measured
275,A93C,0,1,measured
276,EDFE,0,1,measured
277,3C77,0,1,measured
280,13D4,0,1,measured
281,5C89,0,1,measured
282,A30B,0,1,measured
284,7D92,0,1,measured
286,1107,0,1,measured
287,5951,0,1,measured
288,9FFB,0,1,measured
289,0470,0,1,measured
294,59C3,0,1,measured
295,A30F,0,1,measured
296,0960,0,1,measured
