offset,seed,band,boots,how
6,09AC,0,1,measured
7,3195,0,1,measured
8,7B0A,0,1,measured
9,C3DA,0,1,measured
10,0D16,0,1,measured
11,565A,0,1,measured
12,9F9A,0,1,measured
13,A0CF,0,1,measured
14,C306,0,1,measured
15,0A57,0,1,measured
16,0A57,0,1,measured
17,5497,0,1,measured
18,E685,0,1,measured
19,306C,0,1,measured
20,71D8,0,1,measured
21,C093,0,1,measured
22,DFCB,0,1,measured
23,1DCF,0,1,measured
24,6623,0,1,measured
25,AF6B,0,1,measured
26,F8A7,0,1,measured
27,41E8,0,1,measured
28,6AAB,0,1,measured
29,7DC8,0,1,measured
30,C6FC,0,1,measured
31,0F56,0,1,measured
32,589A,0,1,measured
33,A1DA,0,1,measured
34,EB1A,0,1,measured
35,3076,0,1,measured
36,7DA2,0,1,measured
37,7DA2,0,1,measured
38,C6DA,0,1,measured
39,1016,0,1,measured
40,0E99,0,1,measured
41,3231,0,1,measured
42,7C75,0,1,measured
43,C431,0,1,measured
44,0F92,0,1,measured
45,5581,0,1,measured
46,A662,0,1,measured
47,EC5E,0,1,measured
48,3566,0,1,measured
49,76F2,0,1,measured
50,B543,0,1,measured
51,F53E,0,1,measured
52,484C,0,1,measured
53,9203,0,1,measured
54,DA27,0,1,measured
55,2337,0,1,measured
56,9B2E,0,1,measured
57,E431,0,1,measured
58,308C,0,1,measured
59,7652,0,1,measured
60,BED9,0,1,measured
61,0698,0,1,measured
62,4F9C,0,1,measured
63,78AC,0,1,measured
64,37CF,0,1,measured
65,537E,0,1,measured
66,A2B3,0,1,measured
67,EA43,0,1,measured
68,3484,0,1,measured
69,7C60,0,1,measured
70,C668,0,1,measured
71,1037,0,1,measured
72,59C3,0,1,measured
73,CE25,0,1,measured
74,ECD9,0,1,measured
75,3465,0,1,measured
76,7E93,0,1,measured
77,C653,0,1,measured
78,1074,0,1,measured
79,5A34,0,1,measured
80,9F11,0,1,measured
81,E93F,0,1,measured
82,5DE9,0,1,measured
83,7EBF,0,1,measured
84,C93D,0,1,measured
85,10C1,0,1,measured
86,5B04,0,1,measured
87,A3A6,0,1,measured
88,EFCA,0,1,measured
89,EFCA,0,1,measured
90,35AB,0,1,measured
91,AA9F,0,1,measured
92,CA12,0,1,measured
93,1470,0,1,measured
94,5C17,0,1,measured
95,E973,0,1,measured
96,3826,0,1,measured
97,81F4,0,1,measured
98,CB80,0,1,measured
99,3DC4,0,1,measured
100,5D52,0,1,measured
101,A7AC,0,1,measured
102,EF57,0,1,measured
103,3AB5,0,1,measured
104,8237,0,1,measured
105,CC18,0,1,measured
106,1570,0,1,measured
107,87AF,0,1,measured
108,A648,0,1,measured
109,F0B1,0,1,measured
110,3395,0,1,measured
111,3395,0,1,measured
112,8281,0,1,measured
113,CA68,0,1,measured
114,1467,0,1,measured
115,5E43,0,1,measured
116,A7B6,0,1,measured
117,1C30,0,1,measured
118,350E,0,1,measured
119,8021,0,1,measured
120,C703,0,1,measured
121,591D,0,1,measured
122,A2CA,0,1,measured
123,EBC0,0,1,measured
124,3432,0,1,measured
125,7280,0,1,measured
126,B43C,0,1,measured
127,FD11,0,1,measured
128,475B,0,1,measured
129,9638,0,1,measured
130,D92B,0,1,measured
131,269E,0,1,measured
132,7088,0,1,measured
133,B525,0,1,measured
134,0306,0,1,measured
135,4B9B,0,1,measured
136,94E3,0,1,measured
137,DE46,0,1,measured
138,0935,0,1,measured
139,3828,0,1,measured
140,7702,0,1,measured
141,CA6C,0,1,measured
142,7036,0,1,measured
143,A920,0,1,measured
144,F49C,0,1,measured
145,3D31,0,1,measured
146,8672,0,1,measured
147,CFD4,0,1,measured
148,1A08,0,1,measured
149,6252,0,1,measured
150,AB88,0,1,measured
151,ED15,0,1,measured
152,2B76,0,1,measured
153,7466,0,1,measured
154,F812,0,1,measured
155,1C0A,0,1,measured
156,69BF,0,1,measured
157,B36B,0,1,measured
158,FBE6,0,1,measured
159,4543,0,1,measured
160,8E84,0,1,measured
161,D82C,0,1,measured
162,1EF6,0,1,measured
163,4B7D,0,1,measured
164,94E7,0,1,measured
165,DDB6,0,1,measured
166,26E8,0,1,measured
167,A387,0,1,measured
168,BB0F,0,1,measured
169,046B,0,1,measured
170,4926,0,1,measured
171,961E,0,1,measured
172,DF05,0,1,measured
173,283F,0,1,measured
174,71F0,0,1,measured
175,BADC,0,1,measured
176,E47A,0,1,measured
177,1475,0,1,measured
178,5CA9,0,1,measured
179,A536,0,1,measured
180,57F3,0,1,measured
181,890C,0,1,measured
182,D227,0,1,measured
183,1B0B,0,1,measured
184,647F,0,1,measured
185,A984,0,1,measured
186,F4C9,0,1,measured
187,5946,0,1,measured
188,89CD,0,1,measured
189,D2F0,0,1,measured
190,1BCB,0,1,measured
191,6534,0,1,measured
192,AEDE,0,1,measured
193,1B86,0,1,measured
194,4070,0,1,measured
195,8D9F,0,1,measured
196,D943,0,1,measured
197,1F81,0,1,measured
198,68EB,0,1,measured
199,B609,0,1,measured
200,F00A,0,1,measured
201,429B,0,1,measured
202,835B,0,1,measured
203,C4D1,0,1,measured
204,0A4F,0,1,measured
205,53A6,0,1,measured
206,D596,0,1,measured
207,0895,0,1,measured
208,53AC,0,1,measured
209,9D8E,0,1,measured
210,E3EC,0,1,measured
211,2D5B,0,1,measured
212,7A70,0,1,measured
213,BDBE,0,1,measured
214,05E9,0,1,measured
215,2610,0,1,measured
216,7B82,0,1,measured
217,C0F9,0,1,measured
218,0A5A,0,1,measured
219,8D64,0,1,measured
220,B1F1,0,1,measured
221,FB12,0,1,measured
222,44C4,0,1,measured
223,8E39,0,1,measured
224,D60A,0,1,measured
225,1FC0,0,1,measured
226,6894,0,1,measured
227,B110,0,1,measured
228,D826,0,1,measured
229,157E,0,1,measured
230,5970,0,1,measured
231,A826,0,1,measured
232,F361,0,1,measured
233,388D,0,1,measured
234,8142,0,1,measured
235,CB19,0,1,measured
236,13C3,0,1,measured
237,5D09,0,1,measured
238,A724,0,1,measured
239,EF7C,0,1,measured
240,38D6,0,1,measured
241,6430,0,1,measured
242,8E78,0,1,measured
243,D77F,0,1,measured
244,A522,0,1,measured
245,B5D8,0,1,measured
246,03C5,0,1,measured
247,4D82,0,1,measured
248,9507,0,1,measured
249,DF0F,0,1,measured
250,2792,0,1,measured
251,71ED,0,1,measured
252,BAA7,0,1,measured
