offset,seed,band,boots,how
6,9AD0,0,1,measured
7,C2CB,0,1,measured
8,0C38,0,1,measured
9,550C,0,1,measured
10,9E52,0,1,measured
11,E790,0,1,measured
12,30C7,0,1,measured
13,3036,0,1,measured
14,52D1,0,1,measured
15,9D2E,0,1,measured
16,9D2E,0,1,measured
17,E4A5,0,1,measured
18,78A9,0,1,measured
19,BF05,0,1,measured
20,0304,0,1,measured
21,50D5,0,1,measured
22,70FB,0,1,measured
23,AF01,0,1,measured
24,F755,0,1,measured
25,409A,0,1,measured
26,89DD,0,1,measured
27,D314,0,1,measured
28,FBD6,0,1,measured
29,0EF7,0,1,measured
30,582F,0,1,measured
31,A087,0,1,measured
32,E9D0,0,1,measured
33,3307,0,1,measured
34,7C45,0,1,measured
35,C1A3,0,1,measured
36,0EC7,0,1,measured
37,0EC7,0,1,measured
38,5803,0,1,measured
39,A150,0,1,measured
40,9FC3,0,1,measured
41,C351,0,1,measured
42,0DAE,0,1,measured
43,5568,0,1,measured
44,9FA8,0,1,measured
45,E768,0,1,measured
46,366C,0,1,measured
47,7FC0,0,1,measured
48,C69D,0,1,measured
49,088B,0,1,measured
50,466D,0,1,measured
51,8663,0,1,measured
52,D975,0,1,measured
53,2333,0,1,measured
54,6B54,0,1,measured
55,B464,0,1,measured
56,2C65,0,1,measured
57,755E,0,1,measured
58,BFB7,0,1,measured
59,09FD,0,1,measured
60,50EC,0,1,measured
61,97BC,0,1,measured
62,E0C9,0,1,measured
63,09D0,0,1,measured
64,C8F5,0,1,measured
65,E4AE,0,1,measured
66,33EC,0,1,measured
67,7B77,0,1,measured
68,C5B1,0,1,measured
69,0D8E,0,1,measured
70,5793,0,1,measured
71,A15B,0,1,measured
72,EAED,0,1,measured
73,5D92,0,1,measured
74,7CB7,0,1,measured
75,C720,0,1,measured
76,0EB7,0,1,measured
77,58F6,0,1,measured
78,A3C9,0,1,measured
79,EB72,0,1,measured
80,2EA2,0,1,measured
81,7A6B,0,1,measured
82,EF20,0,1,measured
83,0FF7,0,1,measured
84,5A5E,0,1,measured
85,A1F7,0,1,measured
86,EC2C,0,1,measured
87,34D9,0,1,measured
88,7EA1,0,1,measured
89,7EA1,0,1,measured
90,C7CC,0,1,measured
91,3BBC,0,1,measured
92,5B35,0,1,measured
93,A599,0,1,measured
94,EFDD,0,1,measured
95,7B05,0,1,measured
96,C95B,0,1,measured
97,1314,0,1,measured
98,5B64,0,1,measured
99,CE87,0,1,measured
100,EE7E,0,1,measured
101,38DB,0,1,measured
102,8078,0,1,measured
103,CAB9,0,1,measured
104,1368,0,1,measured
105,5D2A,0,1,measured
106,A654,0,1,measured
107,184E,0,1,measured
108,3A98,0,1,measured
109,803B,0,1,measured
110,C5CE,0,1,measured
111,C5CE,0,1,measured
112,1259,0,1,measured
113,5BF8,0,1,measured
114,A58C,0,1,measured
115,EF55,0,1,measured
116,37B1,0,1,measured
117,ACF3,0,1,measured
118,C639,0,1,measured
119,0F49,0,1,measured
120,58EB,0,1,measured
121,EA50,0,1,measured
122,3392,0,1,measured
123,7E5C,0,1,measured
124,C55E,0,1,measured
125,03A5,0,1,measured
126,4561,0,1,measured
127,8E3D,0,1,measured
128,D760,0,1,measured
129,2773,0,1,measured
130,6A58,0,1,measured
131,B7D5,0,1,measured
132,01B6,0,1,measured
133,4613,0,1,measured
134,93A4,0,1,measured
135,DD4D,0,1,measured
136,2616,0,1,measured
137,6F7F,0,1,measured
138,9AA1,0,1,measured
139,C8C7,0,1,measured
140,082E,0,1,measured
141,5B90,0,1,measured
142,015B,0,1,measured
143,3A4E,0,1,measured
144,85C7,0,1,measured
145,CE56,0,1,measured
146,179F,0,1,measured
147,6102,0,1,measured
148,AAF0,0,1,measured
149,F410,0,1,measured
150,3CB7,0,1,measured
151,7E4D,0,1,measured
152,BCA2,0,1,measured
153,05D1,0,1,measured
154,893F,0,1,measured
155,AD37,0,1,measured
156,FAE9,0,1,measured
157,4495,0,1,measured
158,8D09,0,1,measured
159,D679,0,1,measured
160,1FAE,0,1,measured
161,6956,0,1,measured
162,B024,0,1,measured
163,DCAE,0,1,measured
164,2621,0,1,measured
165,6EEC,0,1,measured
166,B80C,0,1,measured
167,34AA,0,1,measured
168,4DE3,0,1,measured
169,9607,0,1,measured
170,D997,0,1,measured
171,26E9,0,1,measured
172,7029,0,1,measured
173,B9D7,0,1,measured
174,02A9,0,1,measured
175,4B4E,0,1,measured
176,76CB,0,1,measured
177,A484,0,1,measured
178,ED9A,0,1,measured
179,3776,0,1,measured
180,E929,0,1,measured
181,1A2F,0,1,measured
182,635F,0,1,measured
183,ADAC,0,1,measured
184,F5F7,0,1,measured
185,3793,0,1,measured
186,85F2,0,1,measured
187,EA6F,0,1,measured
188,1AFA,0,1,measured
189,6414,0,1,measured
190,ACEE,0,1,measured
191,F65A,0,1,measured
192,4008,0,1,measured
193,AB06,0,1,measured
194,D19E,0,1,measured
195,1E69,0,1,measured
196,6A7B,0,1,measured
197,B0AF,0,1,measured
198,FA65,0,1,measured
199,44D0,0,1,measured
200,8135,0,1,measured
201,D2EE,0,1,measured
202,147E,0,1,measured
203,55FB,0,1,measured
204,9B74,0,1,measured
205,E4DB,0,1,measured
206,66BD,0,1,measured
207,99B9,0,1,measured
208,E2D6,0,1,measured
209,2EBE,0,1,measured
210,7510,0,1,measured
211,BED0,0,1,measured
212,093B,0,1,measured
213,4E18,0,1,measured
214,971A,0,1,measured
215,B73F,0,1,measured
216,0CBC,0,1,measured
217,5230,0,1,measured
218,9B87,0,1,measured
219,1E90,0,1,measured
220,431B,0,1,measured
221,8C36,0,1,measured
222,D5E9,0,1,measured
223,1E62,0,1,measured
224,6743,0,1,measured
225,B072,0,1,measured
226,FA38,0,1,measured
227,42F4,0,1,measured
228,69A1,0,1,measured
229,A6A8,0,1,measured
230,EA9D,0,1,measured
231,3838,0,1,measured
232,848F,0,1,measured
233,C9B6,0,1,measured
234,127B,0,1,measured
235,5C46,0,1,measured
236,A4F0,0,1,measured
237,EE2D,0,1,measured
238,380A,0,1,measured
239,80AF,0,1,measured
240,C9F6,0,1,measured
241,F4D9,0,1,measured
242,202D,0,1,measured
243,6985,0,1,measured
244,364B,0,1,measured
245,4703,0,1,measured
246,94E8,0,1,measured
247,DEAB,0,1,measured
248,2644,0,1,measured
249,7033,0,1,measured
250,B8B6,0,1,measured
251,0310,0,1,measured
252,4BD2,0,1,measured
253,8CF3,0,1,measured
254,CB3A,0,1,measured
255,1418,0,1,measured
256,5D38,0,1,measured
257,F377,0,1,measured
258,2A6E,0,1,measured
259,7295,0,1,measured
260,B82B,0,1,measured
261,046C,0,1,measured
262,4E52,0,1,measured
263,96E3,0,1,measured
264,E0D1,0,1,measured
265,2956,0,1,measured
266,295F,0,1,measured
267,5761,0,1,measured
268,ADE6,0,1,measured
269,ECFC,0,1,measured
270,363E,0,1,measured
271,A9D9,0,1,measured
272,E6B4,0,1,measured
273,2E97,0,1,measured
274,7794,0,1,measured
275,C0B2,0,1,measured
276,0608,0,1,measured
277,5331,0,1,measured
278,9C67,0,1,measured
279,E5AA,0,1,measured
280,2B48,0,1,measured
281,73D2,0,1,measured
282,BA7C,0,1,measured
283,699E,0,1,measured
284,94D1,0,1,measured
285,DDE8,0,1,measured
286,26C5,0,1,measured
287,7042,0,1,measured
288,B9DB,0,1,measured
289,1C87,0,1,measured
290,47B1,0,1,measured
291,9560,0,1,measured
292,DF20,0,1,measured
