offset,seed,band,boots,how
6,099B,0,1,measured
7,3196,0,1,measured
8,7B03,0,1,measured
9,C3D7,0,1,measured
10,0D1D,0,1,measured
11,565B,0,1,measured
12,9F92,0,1,measured
13,9F4C,0,1,measured
14,C1DD,0,1,measured
15,0C38,0,1,measured
16,0C38,0,1,measured
17,537C,0,1,measured
18,E6CF,0,1,measured
19,2F34,0,1,measured
20,71ED,0,1,measured
21,C023,0,1,measured
22,DFC4,0,1,measured
23,1DCC,0,1,measured
24,6620,0,1,measured
25,AF65,0,1,measured
26,F8A8,0,1,measured
27,41DF,0,1,measured
28,6A9F,0,1,measured
29,7DC2,0,1,measured
30,C6FA,0,1,measured
31,0F52,0,1,measured
32,589B,0,1,measured
33,A1D2,0,1,measured
34,EB12,0,1,measured
35,306E,0,1,measured
36,7D92,0,1,measured
37,7D92,0,1,measured
38,C6CE,0,1,measured
39,101B,0,1,measured
40,0EDA,0,1,measured
41,325D,0,1,measured
42,7CB8,0,1,measured
43,C71C,0,1,measured
44,0D03,0,1,measured
45,557C,0,1,measured
46,A676,0,1,measured
47,EC4C,0,1,measured
48,3562,0,1,measured
49,76EA,0,1,measured
50,B53C,0,1,measured
51,F537,0,1,measured
52,4856,0,1,measured
53,9237,0,1,measured
54,DA28,0,1,measured
55,2325,0,1,measured
56,9B27,0,1,measured
57,E580,0,1,measured
58,2F2F,0,1,measured
59,78F6,0,1,measured
60,BFC7,0,1,measured
61,0687,0,1,measured
62,4F94,0,1,measured
63,78A2,0,1,measured
64,380E,0,1,measured
65,53AF,0,1,measured
66,A2F8,0,1,measured
67,EA5F,0,1,measured
68,34B7,0,1,measured
69,7C79,0,1,measured
70,C66C,0,1,measured
71,1071,0,1,measured
72,59FA,0,1,measured
73,CCAE,0,1,measured
74,EBB6,0,1,measured
75,3637,0,1,measured
76,7D9A,0,1,measured
77,C7F5,0,1,measured
78,106D,0,1,measured
79,5A73,0,1,measured
80,9F08,0,1,measured
81,EBE2,0,1,measured
82,5F0E,0,1,measured
83,7EF6,0,1,measured
