offset,seed,band,boots,how
6,8366,0,1,measured
7,AB58,0,1,measured
8,F4D2,0,1,measured
9,3D9C,0,1,measured
10,86E5,0,1,measured
11,D025,0,1,measured
12,1965,0,1,measured
13,191E,0,1,measured
14,3BA8,0,1,measured
15,860A,0,1,measured
16,860A,0,1,measured
17,CD3F,0,1,measured
18,5F35,0,1,measured
19,A72B,0,1,measured
20,EBB6,0,1,measured
21,3980,0,1,measured
22,5983,0,1,measured
23,979B,0,1,measured
24,DFE9,0,1,measured
25,292D,0,1,measured
26,726B,0,1,measured
27,BBB2,0,1,measured
28,E474,0,1,measured
29,F77F,0,1,measured
30,40C1,0,1,measured
31,891E,0,1,measured
32,D265,0,1,measured
33,1BA3,0,1,measured
34,64DC,0,1,measured
35,AA41,0,1,measured
36,F759,0,1,measured
37,F759,0,1,measured
38,409C,0,1,measured
39,89E5,0,1,measured
40,88A7,0,1,measured
41,AC28,0,1,measured
42,F689,0,1,measured
43,3E10,0,1,measured
44,8866,0,1,measured
45,D010,0,1,measured
46,1F0A,0,1,measured
47,6896,0,1,measured
48,AF94,0,1,measured
49,F0B1,0,1,measured
50,2EFC,0,1,measured
51,6EFC,0,1,measured
52,C21E,0,1,measured
53,0BFF,0,1,measured
54,53F0,0,1,measured
55,9CF8,0,1,measured
56,14F0,0,1,measured
57,5DEF,0,1,measured
58,A85A,0,1,measured
59,F2C8,0,1,measured
60,399C,0,1,measured
61,805A,0,1,measured
62,C95E,0,1,measured
63,F260,0,1,measured
64,B1E1,0,1,measured
65,CD77,0,1,measured
66,1CCE,0,1,measured
67,6423,0,1,measured
68,AE80,0,1,measured
69,F64C,0,1,measured
70,402A,0,1,measured
71,8A3E,0,1,measured
72,D3D3,0,1,measured
73,4674,0,1,measured
74,6576,0,1,measured
75,B00E,0,1,measured
76,F762,0,1,measured
77,42F4,0,1,measured
78,8A31,0,1,measured
79,D46F,0,1,measured
80,192C,0,1,measured
81,6300,0,1,measured
82,D7F6,0,1,measured
83,F8B6,0,1,measured
84,434E,0,1,measured
85,8AA0,0,1,measured
86,D500,0,1,measured
87,1D75,0,1,measured
88,6789,0,1,measured
89,6789,0,1,measured
90,B0AF,0,1,measured
91,2495,0,1,measured
92,4403,0,1,measured
93,901D,0,1,measured
94,D721,0,1,measured
95,63A7,0,1,measured
96,B1E9,0,1,measured
97,FBE8,0,1,measured
98,442D,0,1,measured
99,B75C,0,1,measured
100,D745,0,1,measured
101,21C9,0,1,measured
102,692D,0,1,measured
103,B384,0,1,measured
104,FBFD,0,1,measured
105,45FE,0,1,measured
106,8F2E,0,1,measured
107,0331,0,1,measured
108,21BC,0,1,measured
109,68F3,0,1,measured
110,AEA0,0,1,measured
111,AEA0,0,1,measured
112,FB04,0,1,measured
113,44AD,0,1,measured
114,8E1A,0,1,measured
115,D83F,0,1,measured
116,2073,0,1,measured
117,95B8,0,1,measured
118,AEFD,0,1,measured
119,F80D,0,1,measured
120,41BD,0,1,measured
121,D300,0,1,measured
122,1DC2,0,1,measured
123,6596,0,1,measured
124,ADF5,0,1,measured
125,EC61,0,1,measured
126,2DF6,0,1,measured
127,76C6,0,1,measured
128,BFFA,0,1,measured
129,1007,0,1,measured
130,52E3,0,1,measured
131,A060,0,1,measured
132,EA58,0,1,measured
133,2EA1,0,1,measured
134,7C2B,0,1,measured
135,C60E,0,1,measured
136,0E9F,0,1,measured
137,584E,0,1,measured
138,830D,0,1,measured
139,B153,0,1,measured
140,F0C4,0,1,measured
141,4444,0,1,measured
142,E9F8,0,1,measured
143,22EC,0,1,measured
144,6E83,0,1,measured
145,B6F4,0,1,measured
146,003F,0,1,measured
147,4997,0,1,measured
148,938F,0,1,measured
149,DCCB,0,1,measured
150,254B,0,1,measured
151,66D9,0,1,measured
152,A578,0,1,measured
153,EE25,0,1,measured
154,7214,0,1,measured
155,95FD,0,1,measured
156,E3B0,0,1,measured
157,2D68,0,1,measured
158,75A7,0,1,measured
159,BF44,0,1,measured
160,0884,0,1,measured
161,522A,0,1,measured
162,98AB,0,1,measured
163,C53F,0,1,measured
164,0EAF,0,1,measured
165,577F,0,1,measured
166,A0AA,0,1,measured
167,1F58,0,1,measured
168,3506,0,1,measured
169,7EC9,0,1,measured
170,C246,0,1,measured
171,0F96,0,1,measured
172,58DE,0,1,measured
173,A28D,0,1,measured
174,EB5C,0,1,measured
175,33EB,0,1,measured
176,5F79,0,1,measured
177,8D27,0,1,measured
178,D62F,0,1,measured
179,2032,0,1,measured
180,D1ED,0,1,measured
181,02FA,0,1,measured
182,4E63,0,1,measured
183,94C4,0,1,measured
184,DE80,0,1,measured
185,232F,0,1,measured
186,7135,0,1,measured
187,D423,0,1,measured
188,03CE,0,1,measured
189,4CE9,0,1,measured
190,9582,0,1,measured
191,DF32,0,1,measured
192,28D7,0,1,measured
193,93D3,0,1,measured
194,BA7C,0,1,measured
195,0727,0,1,measured
196,5306,0,1,measured
197,9B88,0,1,measured
198,E08D,0,1,measured
199,2C88,0,1,measured
200,69C3,0,1,measured
201,BB84,0,1,measured
202,FD1C,0,1,measured
203,3E9A,0,1,measured
204,840E,0,1,measured
205,CD72,0,1,measured
206,4F8F,0,1,measured
207,8284,0,1,measured
208,CB98,0,1,measured
209,1751,0,1,measured
210,5DE4,0,1,measured
211,A798,0,1,measured
212,F1CC,0,1,measured
213,36AB,0,1,measured
214,7FA7,0,1,measured
215,9FCB,0,1,measured
216,F54E,0,1,measured
217,3AC6,0,1,measured
218,8421,0,1,measured
219,0767,0,1,measured
220,2BE6,0,1,measured
221,7501,0,1,measured
222,BEB6,0,1,measured
223,0716,0,1,measured
224,5000,0,1,measured
225,9918,0,1,measured
226,E2EA,0,1,measured
227,2C00,0,1,measured
228,520A,0,1,measured
229,8F49,0,1,measured
230,D332,0,1,measured
231,20CE,0,1,measured
232,6D20,0,1,measured
233,B249,0,1,measured
234,FB0A,0,1,measured
235,44F3,0,1,measured
236,8D85,0,1,measured
237,D6CC,0,1,measured
238,20B4,0,1,measured
239,6936,0,1,measured
240,B291,0,1,measured
241,DD6E,0,1,measured
242,092B,0,1,measured
243,5148,0,1,measured
244,1EF2,0,1,measured
245,2FB9,0,1,measured
246,7D94,0,1,measured
247,C773,0,1,measured
248,0ED7,0,1,measured
249,58E3,0,1,measured
250,A14B,0,1,measured
251,EBC0,0,1,measured
252,3487,0,1,measured
253,7585,0,1,measured
254,B3CA,0,1,measured
255,FCA6,0,1,measured
256,45D7,0,1,measured
257,DD46,0,1,measured
258,122B,0,1,measured
259,5B4F,0,1,measured
260,A0F2,0,1,measured
261,ECFD,0,1,measured
262,3705,0,1,measured
263,7F7A,0,1,measured
264,C989,0,1,measured
265,11EC,0,1,measured
266,11EC,0,1,measured
267,401F,0,1,measured
268,9681,0,1,measured
269,D5A9,0,1,measured
270,1EE2,0,1,measured
271,9268,0,1,measured
272,CF5B,0,1,measured
273,1744,0,1,measured
274,5FF8,0,1,measured
275,A937,0,1,measured
276,EEB1,0,1,measured
277,3BC2,0,1,measured
278,8502,0,1,measured
279,CE3B,0,1,measured
280,13D9,0,1,measured
281,5C84,0,1,measured
282,A30D,0,1,measured
283,5263,0,1,measured
284,7DA1,0,1,measured
