offset,seed,band,boots,how
6,82A6,0,1,measured
8,F416,0,1,measured
9,3CD9,0,1,measured
11,CF65,0,1,measured
12,18A5,0,1,measured
13,185D,0,1,measured
14,3AE8,0,1,measured
15,854C,0,1,measured
16,854C,0,1,measured
17,CC7B,0,1,measured
18,5FE0,0,1,measured
19,A842,0,1,measured
20,EAF6,0,1,measured
22,58CD,0,1,measured
24,DF33,0,1,measured
25,286D,0,1,measured
26,71B2,0,1,measured
27,BAF2,0,1,measured
28,E3B2,0,1,measured
29,F6C3,0,1,measured
30,4003,0,1,measured
31,8866,0,1,measured
32,D1A5,0,1,measured
33,1AE5,0,1,measured
34,6425,0,1,measured
35,A981,0,1,measured
38,3FE1,0,1,measured
39,8926,0,1,measured
40,87E7,0,1,measured
41,AB68,0,1,measured
42,F5CC,0,1,measured
43,4020,0,1,measured
44,860D,0,1,measured
45,CE88,0,1,measured
46,1F87,0,1,measured
47,6559,0,1,measured
48,AE65,0,1,measured
50,2E3E,0,1,measured
51,6E41,0,1,measured
52,C159,0,1,measured
53,0B37,0,1,measured
54,5330,0,1,measured
55,9C38,0,1,measured
56,1430,0,1,measured
57,5E8A,0,1,measured
59,F201,0,1,measured
60,38D2,0,1,measured
61,7F94,0,1,measured
62,C8A7,0,1,measured
63,F1A5,0,1,measured
64,B126,0,1,measured
65,CCB9,0,1,measured
66,1C0E,0,1,measured
67,6363,0,1,measured
68,ADC0,0,1,measured
69,F58C,0,1,measured
70,3F72,0,1,measured
71,8981,0,1,measured
72,D303,0,1,measured
73,45B9,0,1,measured
74,64B6,0,1,measured
75,AF43,0,1,measured
76,F6A2,0,1,measured
77,4100,0,1,measured
78,8975,0,1,measured
79,D387,0,1,measured
80,181B,0,1,measured
81,64F8,0,1,measured
82,D81A,0,1,measured
83,F803,0,1,measured
84,428E,0,1,measured
85,89E3,0,1,measured
86,D43D,0,1,measured
87,1F1F,0,1,measured
88,66CE,0,1,measured
89,66CE,0,1,measured
90,AEDE,0,1,measured
91,23EE,0,1,measured
92,434E,0,1,measured
93,8DC9,0,1,measured
94,D522,0,1,measured
95,628D,0,1,measured
96,B129,0,1,measured
97,FB40,0,1,measured
98,44D0,0,1,measured
99,B710,0,1,measured
100,D68A,0,1,measured
101,210A,0,1,measured
102,6B42,0,1,measured
103,B142,0,1,measured
104,FB35,0,1,measured
105,456F,0,1,measured
106,8EC3,0,1,measured
