offset,seed,band,boots,how
7,AB53,0,1,measured
8,F4D7,0,1,measured
14,3B6B,0,1,measured
15,85BB,0,1,measured
16,85BB,0,1,measured
17,CFFD,0,1,measured
18,5F22,0,1,measured
19,A723,0,1,measured
20,EBA1,0,1,measured
21,3964,0,1,measured
22,598D,0,1,measured
23,9794,0,1,measured
28,E470,0,1,measured
29,F78D,0,1,measured
30,40C7,0,1,measured
31,891C,0,1,measured
32,D259,0,1,measured
33,1B9C,0,1,measured
34,64E5,0,1,measured
35,AA3D,0,1,measured
36,F766,0,1,measured
37,F766,0,1,measured
38,40A5,0,1,measured
43,3DF0,0,1,measured
44,883B,0,1,measured
45,CFFA,0,1,measured
47,68CB,0,1,measured
48,AF23,0,1,measured
49,F0B4,0,1,measured
50,2EF8,0,1,measured
51,6EF8,0,1,measured
52,C207,0,1,measured
53,0BC9,0,1,measured
56,14F6,0,1,measured
57,5DF3,0,1,measured
58,A851,0,1,measured
61,8052,0,1,measured
62,C966,0,1,measured
63,F25F,0,1,measured
64,B199,0,1,measured
69,F61B,0,1,measured
70,402D,0,1,measured
71,89FA,0,1,measured
72,D386,0,1,measured
75,AFBE,0,1,measured
76,F9E3,0,1,measured
77,4018,0,1,measured
78,8A2E,0,1,measured
79,D41B,0,1,measured
81,6300,0,1,measured
84,42FC,0,1,measured
85,8A85,0,1,measured
86,D4CE,0,1,measured
91,2447,0,1,measured
92,46F1,0,1,measured
93,8CA0,0,1,measured
94,D6E6,0,1,measured
95,6399,0,1,measured
98,43F3,0,1,measured
99,B719,0,1,measured
100,D718,0,1,measured
102,690E,0,1,measured
105,45B7,0,1,measured
106,90B9,0,1,measured
107,0164,0,1,measured
108,2011,0,1,measured
109,6A73,0,1,measured
110,AD57,0,1,measured
111,AD57,0,1,measured
112,FC41,0,1,measured
113,442F,0,1,measured
114,8E26,0,1,measured
115,D7FF,0,1,measured
116,218A,0,1,measured
117,95F6,0,1,measured
120,4185,0,1,measured
121,D3DB,0,1,measured
122,1C90,0,1,measured
123,6582,0,1,measured
126,2DF3,0,1,measured
127,76CC,0,1,measured
128,BFF9,0,1,measured
129,0FFE,0,1,measured
130,52E5,0,1,measured
133,2E9D,0,1,measured
134,7C39,0,1,measured
135,C5E6,0,1,measured
136,0EF0,0,1,measured
137,580F,0,1,measured
138,82F6,0,1,measured
140,F0C0,0,1,measured
141,442B,0,1,measured
148,937C,0,1,measured
149,DCB0,0,1,measured
151,6720,0,1,measured
152,A536,0,1,measured
153,EE28,0,1,measured
154,71CF,0,1,measured
155,95C6,0,1,measured
161,51E8,0,1,measured
162,98AD,0,1,measured
163,C53F,0,1,measured
167,1D47,0,1,measured
168,34CE,0,1,measured
169,7E2F,0,1,measured
170,C2E0,0,1,measured
171,0FDA,0,1,measured
173,A1FB,0,1,measured
174,EBB8,0,1,measured
175,3492,0,1,measured
176,5E47,0,1,measured
177,8E40,0,1,measured
179,1EF0,0,1,measured
180,D1B8,0,1,measured
181,046B,0,1,measured
182,4C52,0,1,measured
183,94C3,0,1,measured
184,DE45,0,1,measured
189,4CAD,0,1,measured
190,958E,0,1,measured
191,DEFE,0,1,measured
196,5487,0,1,measured
197,999E,0,1,measured
198,E095,0,1,measured
199,2C8D,0,1,measured
201,BB79,0,1,measured
203,3E95,0,1,measured
204,840A,0,1,measured
206,4F57,0,1,measured
210,5DA1,0,1,measured
211,A771,0,1,measured
212,F1D1,0,1,measured
213,36AC,0,1,measured
217,3AC2,0,1,measured
218,8426,0,1,measured
219,072A,0,1,measured
224,4FD1,0,1,measured
225,9908,0,1,measured
226,E3C5,0,1,measured
227,2AD4,0,1,measured
228,51E7,0,1,measured
231,20D3,0,1,measured
232,6D1E,0,1,measured
234,FB08,0,1,measured
238,209A,0,1,measured
239,6941,0,1,measured
241,DE3E,0,1,measured
242,0838,0,1,measured
243,514A,0,1,measured
244,1EDC,0,1,measured
245,2F9C,0,1,measured
246,7D88,0,1,measured
247,C745,0,1,measured
252,3463,0,1,measured
253,7589,0,1,measured
254,B3C9,0,1,measured
256,461E,0,1,measured
257,DC09,0,1,measured
258,1210,0,1,measured
259,5B2C,0,1,measured
260,A054,0,1,measured
261,EE0E,0,1,measured
262,363C,0,1,measured
263,8032,0,1,measured
264,C8B0,0,1,measured
265,12A9,0,1,measured
266,12A9,0,1,measured
267,3EDC,0,1,measured
268,9789,0,1,measured
269,D586,0,1,measured
270,1DB3,0,1,measured
271,9382,0,1,measured
272,CF66,0,1,measured
273,171B,0,1,measured
274,5FFC,0,1,measured
275,A93B,0,1,measured
276,EDFE,0,1,measured
277,3C59,0,1,measured
278,84F9,0,1,measured
279,CE3A,0,1,measured
280,13D4,0,1,measured
281,5C6B,0,1,measured
284,7D66,0,1,measured
285,C670,0,1,measured
286,10CF,0,1,measured
287,5921,0,1,measured
288,9FFB,0,1,measured
289,043B,0,1,measured
294,5993,0,1,measured
